US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
101,CandyDrip,Lucky Daye, RCA,RCA ,10,,,33,54,285.7,14,6598,2023.06.29
101,Grudges,Kiana Lede,REPUBLIC RECORDS,R-RR,38,38,,2,54,-84.1,340,394,2023.06.29
105,Greatest Hits Live in '76,Marvin Gaye,MERCURY STUDIOS,EGRO,15,64,68,22,51,-52.3,107,3931,2023.06.29
105,Naujour,TOOSII,CAPITOL RECORDS,CAP,20,94,73,4,51,-26.1,69,737,2023.06.29
105,Target Practice,Demun Jones,,,81,,,10,51,999.0,1,1017,2023.06.29
108,Horse,Prof, INDEPENDENT LABEL SUBMISSION,INDI,2,104,65,12,50,-12.3,57,10152,2023.06.29
108,Queen Radio: Volume 1,Nicki Minaj,REPUBLIC RECORDS,R-RR,8,146,114,30,50,56.2,32,11492,2023.06.29
108,Terraform: The Possibility,Propaganda,,,108,,,1,50,,0,50,2023.06.29
108,Pink Moon,Pink Sweat$,ATLANTIC GROUP,ATLG,29,146,131,10,50,56.2,32,1452,2023.06.29
108,2 Alive,Yeat,INTERSCOPE/GEFFEN/A&M,INT ,9,72,64,38,50,-47.4,95,8056,2023.06.29
108,Component System With The Auto Reverse,Open Mike Eagle,THE ORCHARD,ORCH,30,194,,12,50,163.2,19,1645,2023.06.29
114,Clear 2: Soft Life Ep,Summer Walker,INTERSCOPE/GEFFEN/A&M,INT ,2,104,96,6,49,-14.0,57,3144,2023.06.29
115,Drill Music In Zion,Lupe Fiasco,RED INK,RDIK,9,,191,48,48,585.7,7,9617,2023.06.29
115,The Summer Of Love,Raheem DeVaughn,,,115,141,,2,48,45.5,33,81,2023.06.29
115,The Complete Scepter Singles 1962-1973,Dionne Warwick,REDSTARDIGITALMUSIC,REIC,40,,186,8,48,220.0,15,636,2023.06.29
115,No Stylist,Destroy Lonely,INTERSCOPE/GEFFEN/A&M,INT,4,85,97,25,48,-35.1,74,6566,2023.06.29
119,Untitled (God),SAULT,,,95,,95,7,46,228.6,14,570,2023.06.29
120,Jackman.,Jack Harlow,ATLANTIC GROUP,ATLG,3,97,51,9,44,-34.3,67,2768,2023.06.29
120,Return Of The Sp-1200 V.2,Pete Rock,Frontiers Music Srl,INDI,27,,,22,44,999.0,4,2572,2023.06.29
122,Golden Joe Vol. 2,Sadhugold,,,122,169,,2,43,72.0,25,82,2023.06.29
