US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
80,Under The Influence,Chris Brown, RCA,RCA,2,73,87,119,4284644,0.6,4261135,3497085,787559,197268878,989063983,2024.10.31
81,Heartless,Kanye West,DEF JAM RECORDINGS,DEF ,37,63,79,159,4275616,-2.6,4387985,4092911,182705,203044859,1195177061,2024.10.31
82,Highest In The Room,Travis Scott,EPIC,EPIC,1,64,81,201,4272219,-2.1,4364294,4008097,264122,173493642,1434117321,2024.10.31
83,Ransom,Lil Tecca,REPUBLIC RECORDS,R-RR,1,80,102,147,4252218,2.3,4155046,3713718,538500,142700152,1845013459,2024.10.31
84,Leave Me Alone,Bigxthaplug,,,40,40,46,3,4236640,-20.6,5333439,3977278,259362,15225556,15225556,2024.10.31
85,IVY,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,19,68,99,46,4230775,-1.0,4273540,4017783,212992,168385678,744952432,2024.10.31
86,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,8,62,75,212,4215500,-4.4,4408270,3941878,273622,220598347,1394815003,2024.10.31
87,Humble.,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,1,61,74,391,4181619,-5.3,4413595,3923589,258030,235608034,2755282640,2024.10.31
88,Take Care,Bigxthaplug,,,49,49,65,3,4157612,-14.7,4874408,3888787,268825,13827555,13827555,2024.10.31
89,Nobody Gets Me,Sza, RCA,RCA,2,70,84,76,4153755,-2.8,4272050,3998714,155041,182705460,460542905,2024.10.31
90,Bad Habit,Steve Lacy, RCA,RCA,1,87,91,122,4152659,2.3,4059830,3800478,352181,178004883,1139879879,2024.10.31
91,Get It Sexyy,Sexyy Red,Vydia,VYD,4,98,96,33,4131404,5.5,3917704,3680654,450750,294479149,294479149,2024.10.31
92,One Of The Girls,Weeknd,XO / REPUBLIC RECORDS,R-RR,15,82,82,51,4126783,0.7,4099865,3620460,506323,255748631,320528100,2024.10.31
93,Get You,Daniel Caesar, INDEPENDENT LABEL SUBMISSION,INDI,64,78,110,230,4118389,-1.6,4185639,3901685,216704,155869212,1271848175,2024.10.31
94,Angel With An Attitude,Rod Wave,ALAMO,ALAM,10,41,10,3,4082916,-23.2,5315895,3562787,520129,18827203,18827203,2024.10.31
95,Lovin On Me,Jack Harlow,ATLANTIC GROUP,ATLG,1,74,89,51,4064307,-4.5,4257442,3525739,538568,518525863,716325859,2024.10.31
96,All The Stars,Kendrick Lamar Feat. SZA,INTERSCOPE/GEFFEN/A&M,INT ,3,67,77,161,4057962,-5.1,4276362,3751176,306786,201045503,1362690244,2024.10.31
97,Best Part,Daniel Caesar, RCA,RCA,59,72,98,312,4056427,-5.0,4271346,3730309,326118,171561084,1415161922,2024.10.31
98,Houdini,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,1,54,60,22,4039723,-14.7,4738536,3492075,547648,278988276,278988276,2024.10.31
99,Butterfly Effect,Travis Scott,EPIC,EPIC,15,94,104,128,4031357,2.0,3952044,3904741,126616,155821295,1329827513,2024.10.31
