US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
85,Promiscuous,Nelly Furtado,INTERSCOPE/GEFFEN/A&M,INT ,13,79,86,151,3607663,-1.3,3654802,2919754,687909,83930163,743274278,2023.06.22
86,STARSHIPS,Nicki Minaj,CASH MONEY,R-CM,71,73,71,31,3603535,-4.8,3785756,2430750,1172785,65815719,584116428,2023.06.22
87,Meant To Be,Bebe Rexha & Florida Georgia Line,NOW,NOW ,1,94,79,305,3598004,7.2,3357231,3181778,416226,84357447,1927198674,2023.06.22
88,Shape Of You,Ed Sheeran,ATLANTIC GROUP,ATLG,1,84,80,337,3590972,1.4,3539951,2870009,720963,84719279,2374203079,2023.06.22
89,Glimpse Of Us,Joji,88RISING       ,8RR ,1,71,69,54,3566938,-7.5,3858189,2475256,1091682,115566892,449662771,2023.06.22
90,Easy On Me,Adele,SONY/COLUMBIA,COL,1,81,73,89,3566115,-1.6,3622724,2767079,799036,118305539,761880797,2023.06.22
91,Nonsense,Sabrina Carpenter,ISLAND,ISL,17,80,74,32,3534673,-2.6,3629902,3118230,416443,116432612,152673436,2023.06.22
92,this is what heartbreak feels like (pretty little liar),Jvke,,,28,187,0,19,3528307,41.3,2496598,1190414,2337893,69564995,133834513,2023.06.22
93,Getaway Car,Taylor Swift,BIG MACHINE,BGMA,54,88,94,17,3519399,0.9,3489414,3370240,149159,58124150,238880284,2023.06.22
94,Only Love Can Hurt Like This,Paloma Faith,EPIC,EPIC,12,60,53,61,3488635,-17.6,4233917,1270213,2218422,112660877,314133428,2023.06.22
95,Hips Don't Lie,Shakira Feat. Wyclef Jean,EPIC,EPIC,28,115,119,378,3473714,12.6,3084200,2284820,1188894,79921334,899088336,2023.06.22
