US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
173,champagne problems,Taylor Swift,REPUBLIC RECORDS,R-RR,2,186,0,68,2457116,4.2,2357731,2390371,66745,38749199,359849624,2024.04.18
174,Don't Stop the Music,Rihanna,DEF JAM RECORDINGS,DEF ,39,168,180,14,2439861,-0.4,2448774,2275946,163915,36196268,513145137,2024.04.18
175,My Tears Ricochet,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,5,192,0,44,2439173,5.1,2320945,2378264,60909,37579206,322311656,2024.04.18
176,Timber,Pitbull Feat. Ke$ha, RCA,RCA,38,198,179,303,2437333,6.3,2293014,2251921,185412,35623050,1009230090,2024.04.18
177,My Kink Is Karma,Chappell Roan,,,177,,,1,2433492,61.3,1508980,2363721,69771,10266444,18787351,2024.04.18
178,West Coast,Lana Del Rey,INTERSCOPE/GEFFEN/A&M,INT ,156,0,0,2,2424228,33.6,1814058,2336420,87808,32177604,315471190,2024.04.18
179,Escapism.,Raye,THE ORCHARD,ORCH,3,183,0,72,2418501,1.6,2380467,2270964,147537,46631148,461347528,2024.04.18
180,lacy,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,14,122,142,28,2413569,-12.0,2742129,2365809,47760,40419497,112936169,2024.04.18
181,Girls Just Want to Have Fun,Cyndi Lauper,EPIC,EPIC,106,187,175,54,2408762,2.4,2352861,2077572,331190,35990082,705584481,2024.04.18
182,Eastside,"Benny Blanco , Halsey & Khalid",INTERSCOPE/GEFFEN/A&M,INT ,3,143,156,238,2407620,-6.9,2585361,2188558,219062,37035671,1355307683,2024.04.18
183,Before You Go,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP ,9,184,185,230,2406942,1.1,2380466,2229020,177922,42637963,1095300827,2024.04.18
184,Miss Americana & The Heartbreak Prince,Taylor Swift,REPUBLIC RECORDS,R-RR,11,173,196,40,2397516,-2.0,2445732,2325136,72380,37320273,268927307,2024.04.18
185,Snow On The Beach,Taylor Swift Feat. Lana Del Rey,REPUBLIC RECORDS,R-RR,4,0,0,68,2396952,12.1,2139098,2363412,33540,38509423,317355583,2024.04.18
186,I Gotta Feeling,Black Eyed Peas,INTERSCOPE/GEFFEN/A&M,INT ,82,189,194,97,2394961,2.6,2334483,2129039,265922,38561617,743749111,2024.04.18
187,Moves Like Jagger,Maroon 5 Feat. Christina Aguilera,INTERSCOPE/GEFFEN/A&M,INT,45,0,198,180,2391921,6.0,2256500,2227365,164556,37289752,800813098,2024.04.18
188,Roar,Katy Perry,Watertower Music,WTM,24,194,174,394,2390138,3.7,2304555,2071644,318494,38383632,1151735641,2024.04.18
189,Meant To Be,Bebe Rexha & Florida Georgia Line,NOW,NOW ,1,149,116,347,2387167,-5.1,2515845,2137200,249967,45474590,2054631801,2024.04.18
190,Don't Wanna Break Up Again,Ariana Grande,REPUBLIC RECORDS,R-RR,9,94,58,6,2376474,-21.0,3009428,2307744,68730,34320461,34320461,2024.04.18
191,Call Me Maybe,Carly Rae Jepsen,INTERSCOPE/GEFFEN/A&M,INT ,37,0,182,278,2369618,4.8,2261014,2013634,355984,37026241,996764363,2024.04.18
192,California Gurls,Katy Perry Feat. Snoop Dogg,CAPITOL MUSIC GROUP,CAP ,42,197,184,140,2366117,3.2,2293370,2127049,239068,38687414,698437073,2024.04.18
193,Can't Catch Me Now,Olivia Rodrigo,,,6,172,164,23,2350739,-3.9,2446345,2309319,41420,66930287,132491543,2024.04.18
194,Midnight Rain,Taylor Swift,REPUBLIC RECORDS,R-RR,4,0,0,68,2349829,12.2,2094516,2300601,49228,36315692,331321212,2024.04.18
195,Only Girl (In the World),Rihanna,DEF JAM RECORDINGS,DEF ,22,191,186,21,2346454,0.8,2328233,2240259,106195,38777544,550479880,2024.04.18
196,Killing Me Softly,Fugees, SONY/COLUMBIA,COL,30,0,199,60,2343464,25.4,1869183,1886020,457444,34162200,709539727,2024.04.18
197,Stand By Me,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,12,200,0,41,2331349,2.1,2284392,2169331,162018,38562249,208350872,2024.04.18
198,There's Nothing Holdin' Me Back,Shawn Mendes,ISLAND,ISL ,5,190,183,288,2327520,-0.1,2330552,2135329,192191,38226930,1254239579,2024.04.18
199,Sleep Well,Cg5,,,181,0,0,2,2325760,27.8,1819427,716047,1609713,18683200,18683200,2024.04.18
200,Royals,Lorde,REPUBLIC RECORDS,R-RR,98,155,168,71,2325370,-6.6,2488973,2175831,149539,41349982,904798351,2024.04.18
Copyright (c) 2024 Luminate Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2024.04.18
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.04.25
1,Fortnight,Taylor Swift,REPUBLIC RECORDS,R-RR,1,,,1,76052760,33348.6,227372,66249817,9802943,76280136,76280136,2024.04.25
2,Down Bad,Taylor Swift,REPUBLIC RECORDS,R-RR,2,,,1,49689029,57595.4,86123,48366930,1322099,49775156,49775156,2024.04.25
3,The Tortured Poets Department,Taylor Swift,REPUBLIC RECORDS,R-RR,3,,,1,43845945,34235.1,127700,42310502,1535443,43973649,43973649,2024.04.25
4,I Can Do It With A Broken Heart,Taylor Swift,REPUBLIC RECORDS,R-RR,4,,,1,43823110,77201.7,56691,42206792,1616318,43879813,43879813,2024.04.25
5,"So Long, London",Taylor Swift,REPUBLIC RECORDS,R-RR,5,,,1,43383773,51341.6,84336,42001056,1382717,43468112,43468112,2024.04.25
6,My Boy Only Breaks His Favorite Toys,Taylor Swift,REPUBLIC RECORDS,R-RR,6,,,1,42014535,46403.5,90347,40887432,1127103,42104886,42104886,2024.04.25
7,But Daddy I Love Him,Taylor Swift,REPUBLIC RECORDS,R-RR,7,,,1,41758998,51037.6,81660,40479069,1279929,41840660,41840660,2024.04.25
8,Florida!!!,Taylor Swift,REPUBLIC RECORDS,R-RR,8,,,1,38266216,53567.8,71302,37168885,1097331,38337520,38337520,2024.04.25
9,Who's Afraid Of Little Old Me?,Taylor Swift,REPUBLIC RECORDS,R-RR,9,,,1,37810489,63691.5,59272,36472512,1337977,37869766,37869766,2024.04.25
10,Guilty As Sin?,Taylor Swift,REPUBLIC RECORDS,R-RR,10,,,1,34077676,57789.3,58867,33260179,817497,34136548,34136548,2024.04.25
11,Fresh Out The Slammer,Taylor Swift,REPUBLIC RECORDS,R-RR,11,,,1,31217939,46231.2,67380,30547574,670365,31285321,31285321,2024.04.25
12,Loml,Taylor Swift,REPUBLIC RECORDS,R-RR,12,,,1,30915928,51200.8,60264,30069203,846725,30976204,30976204,2024.04.25
13,The Smallest Man Who Ever Lived,Taylor Swift,REPUBLIC RECORDS,R-RR,13,,,1,30803172,58119.2,52909,30043898,759274,30856089,30856089,2024.04.25
14,The Alchemy,Taylor Swift,REPUBLIC RECORDS,R-RR,14,,,1,30687489,58242.3,52599,29799711,887778,30740096,30740096,2024.04.25
15,I Can Fix Him (No Really I Can),Taylor Swift,REPUBLIC RECORDS,R-RR,15,,,1,27951765,49598.2,56243,27407821,543944,28008033,28008033,2024.04.25
16,Clara Bow,Taylor Swift,REPUBLIC RECORDS,R-RR,16,,,1,25590885,47249.3,54047,25070495,520390,25644939,25644939,2024.04.25
17,Espresso,Sabrina Carpenter,ISLAND,ISL,3,3,0,2,24131593,23.3,19573501,22910236,1221357,43874216,43874216,2024.04.25
18,Thank You Aimee,Taylor Swift,REPUBLIC RECORDS,R-RR,18,,,1,22958351,417932.6,5492,21848308,1110043,22963843,22963843,2024.04.25
19,The Black Dog,Taylor Swift,REPUBLIC RECORDS,R-RR,19,,,1,22308709,273760.9,8146,21746459,562250,22316855,22316855,2024.04.25
20,So High School,Taylor Swift,REPUBLIC RECORDS,R-RR,20,,,1,22248992,370531.2,6003,21519376,729616,22254995,22254995,2024.04.25
21,Imgonnagetyouback,Taylor Swift,REPUBLIC RECORDS,R-RR,21,,,1,21754245,297332.9,7314,21358362,395883,21761559,21761559,2024.04.25
22,Beautiful Things,Benson Boone,Warner Records,WAR,1,1,1,14,21437515,-4.5,22446842,19114045,2323470,309344204,309344204,2024.04.25
23,I Like The Way You Kiss Me,Artemas,TENTHOUSAND PRO,TK1 ,2,2,2,5,19643333,-2.3,20108307,18148259,1495074,85175761,85175761,2024.04.25
24,The Albatross,Taylor Swift,REPUBLIC RECORDS,R-RR,24,,,1,18917855,284507.4,6647,18580269,337586,18924502,18924502,2024.04.25
25,The Prophecy,Taylor Swift,REPUBLIC RECORDS,R-RR,25,,,1,18210425,426773.5,4266,17784450,425975,18214691,18214691,2024.04.25
26,Lose Control,Teddy Swims,Warner Records,WAR,2,4,3,41,17929726,-6.0,19065728,16034929,1894797,288112871,440537000,2024.04.25
27,I Hate It Here,Taylor Swift,REPUBLIC RECORDS,R-RR,27,,,1,17853937,347388.1,5138,17428342,425595,17859075,17859075,2024.04.25
28,How Did It End?,Taylor Swift,REPUBLIC RECORDS,R-RR,28,,,1,17844685,294804.7,6051,17432501,412184,17850736,17850736,2024.04.25
29,Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,REPUBLIC RECORDS,R-RR,29,,,1,17736870,281571.7,6297,17412225,324645,17743167,17743167,2024.04.25
30,I Look In People's Windows,Taylor Swift,REPUBLIC RECORDS,R-RR,30,,,1,16409083,367322.4,4466,16162240,246843,16413549,16413549,2024.04.25
31,Cassandra,Taylor Swift,REPUBLIC RECORDS,R-RR,31,,,1,15077597,359061.4,4198,14787885,289712,15081795,15081795,2024.04.25
32,Peter,Taylor Swift,REPUBLIC RECORDS,R-RR,32,,,1,14946903,446743.1,3345,14584682,362221,14950248,14950248,2024.04.25
33,The Bolter,Taylor Swift,REPUBLIC RECORDS,R-RR,33,,,1,14683904,439012.0,3344,14396665,287239,14687248,14687248,2024.04.25
34,we can't be friends (wait for your love),Ariana Grande,REPUBLIC RECORDS,R-RR,1,5,4,7,13442832,-9.3,14820922,12442698,1000134,143823231,143823231,2024.04.25
35,The Manuscript,Taylor Swift,REPUBLIC RECORDS,R-RR,35,,,1,13171931,603840.0,2181,12910129,261802,13174112,13174112,2024.04.25
36,Robin,Taylor Swift,REPUBLIC RECORDS,R-RR,36,,,1,12449012,526062.8,2366,12244688,204324,12451378,12451378,2024.04.25
37,"Good Luck, Babe!",Chappell Roan,,,8,8,12,3,11637474,21.6,9572639,11392937,244537,27869059,27869059,2024.04.25
38,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,1,6,6,91,10252678,-9.8,11363855,9718778,533900,232960056,1193754790,2024.04.25
39,Greedy,Tate Mcrae, RCA,RCA,2,7,7,32,9215554,-6.6,9870159,8741327,474227,209450140,460282934,2024.04.25
40,Slow It Down,Benson Boone,Warner Records,WAR,5,9,5,5,8771976,-2.3,8976037,8508843,263133,49745085,49745085,2024.04.25
41,Cry,Benson Boone,Warner Records,WAR,8,12,8,3,7185752,-2.3,7356892,6860225,325527,22683481,22683481,2024.04.25
42,Feather,Sabrina Carpenter,ISLAND,ISL,8,11,14,29,6597499,-11.4,7443944,6203873,393626,126789697,215360378,2024.04.25
43,Belong Together,Mark Ambor,,,24,24,32,4,5922034,19.1,4973138,5810731,111303,24153975,24153975,2024.04.25
44,Obsessed,Olivia Rodrigo,,,4,13,9,5,5844130,-18.4,7164904,5575908,268222,47956098,47964958,2024.04.25
45,Illusion,Dua Lipa,Warner Records,WAR,10,10,0,2,5766548,-32.1,8495247,5461398,305150,14715816,14715816,2024.04.25
46,Flowers,Miley Cyrus,COLUMBIA,COL,1,16,17,67,5679597,-3.1,5861325,4764099,915498,125869370,1105884711,2024.04.25
47,Vampire,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,14,13,43,5664932,-13.5,6546756,5247874,417058,139356916,598187955,2024.04.25
48,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,19,22,191,5374313,-5.0,5656590,4572719,801594,100685837,1570173993,2024.04.25
49,What Was I Made For? [From The Motion Picture 'Barbie'],Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,3,18,16,41,5275738,-8.1,5738225,4845079,430659,134780332,464008099,2024.04.25
50,Red Wine Supernova,Chappell Roan,,,20,20,56,4,5135289,-3.7,5331538,4995704,139585,28038713,39867489,2024.04.25
51,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,15,15,79,5116286,-19.7,6370110,4850104,266182,113766835,950904872,2024.04.25
52,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,17,19,241,5103039,-11.9,5792648,4902082,200957,105677320,996557245,2024.04.25
53,If U Think I'm Pretty,Artemas,,,22,22,26,13,4913058,-4.9,5168271,4723277,189781,53526377,64085213,2024.04.25
54,Someone You Loved,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP,2,23,25,272,4528895,-9.2,4990473,3871030,657865,97473790,2006453326,2024.04.25
55,The Boy Is Mine,Ariana Grande,,,4,25,18,7,4490913,-8.7,4918652,4254511,236402,60955232,60955232,2024.04.25
56,I Luv It,Camila Cabello,,,12,42,23,5,4481742,8.1,4146712,4200049,281693,24653439,24653439,2024.04.25
57,Nonsense,Sabrina Carpenter,ISLAND,ISL,17,31,58,76,4439078,-2.3,4543273,4216387,222691,68481593,337982766,2024.04.25
58,Exes,Tate Mcrae, RCA,RCA,5,26,24,23,4321989,-10.9,4851215,4115958,206031,120819553,181758135,2024.04.25
59,Houdini,Dua Lipa,Warner Records,WAR,7,28,27,24,4311681,-9.3,4753190,4029271,282410,98208064,156165917,2024.04.25
60,"Yes, And?",Ariana Grande,REPUBLIC RECORDS,R-RR,1,27,20,15,4226792,-11.6,4779080,4204330,22462,158477329,158477329,2024.04.25
61,Daylight,David Kushner,DAVID KUSHNER,DVK,2,30,31,54,4221184,-8.3,4604373,3656766,564418,114552998,478212971,2024.04.25
62,As It Was,Harry Styles,Columbia Records,COL ,1,38,42,109,4214700,-2.3,4311837,3861611,353089,82800187,1325589939,2024.04.25
63,Party In The U.S.A.,Miley Cyrus,HOLLYWOOD RECORDS,HOL ,18,35,46,418,4187942,-5.6,4436632,3781177,406765,73558452,1188321730,2024.04.25
64,Perfect,Ed Sheeran,ATLANTIC GROUP,ATLG,1,41,36,373,4172099,0.5,4152443,3566460,605639,84555836,2818553816,2024.04.25
65,Bodyguard,Beyonce,Columbia Records,COL ,5,32,11,4,4152347,-8.5,4540481,3697363,454984,30553692,30553692,2024.04.25
66,Unwritten,Natasha Bedingfield,EPIC,EPIC,23,39,39,19,4151549,-2.7,4268659,4143518,8031,74039630,455301150,2024.04.25
67,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,3,33,33,100,4147293,-7.3,4472906,3892012,255281,81934053,688087061,2024.04.25
68,Rich Girl,Daryl Hall & John Oates, RCA,RCA,24,44,45,75,4132799,1.2,4083365,4102588,30211,55449599,658861098,2024.04.25
69,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,45,49,243,4070100,-0.3,4080679,3759715,310385,73385441,1786098727,2024.04.25
70,Lil Boo Thang,Paul Russell,Arista,ARIS,17,51,48,36,3905454,-0.1,3910984,3622863,282591,90985088,184891017,2024.04.25
71,Take On Me,A-Ha,HIP-O RECORDS,HIPD,12,46,52,439,3842220,-5.6,4071328,3405834,436386,63690203,1377167280,2024.04.25
72,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,1,47,40,43,3836760,-5.3,4052000,3648290,188470,103778928,542950790,2024.04.25
73,Lovely,Billie Eilish w/ Khalid,INTERSCOPE/GEFFEN/A&M,INT ,7,49,53,314,3810646,-3.5,3947864,3145105,665541,86086382,2055533303,2024.04.25
74,Counting Stars,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,4,48,44,439,3794517,-4.1,3958556,3324599,469918,76102616,1848870340,2024.04.25
75,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,1,21,29,26,3767489,-28.5,5266208,3693190,74299,115440019,254595610,2024.04.25
76,Hot To Go!,Chappell Roan,,,63,63,180,3,3742805,4.4,3585096,3605039,137766,17013901,22613840,2024.04.25
77,Shivers,Ed Sheeran,ATLANTIC GROUP,ATLG,3,61,73,137,3733497,3.2,3617466,3506714,226783,64328416,829186681,2024.04.25
78,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,1,50,72,194,3707220,-5.8,3933784,3411071,296149,68509882,1746974166,2024.04.25
79,July,Noah Cyrus Feat. Leon Bridges,Columbia Records,COL ,22,54,50,214,3673258,-4.5,3846522,3596846,76412,54851186,787185001,2024.04.25
80,Intro (end of the world),Ariana Grande,REPUBLIC RECORDS,R-RR,12,58,35,7,3609038,-1.8,3676244,3507485,101553,39334424,39334424,2024.04.25
81,Ocean Eyes,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,14,56,78,344,3568826,-4.6,3742773,3101470,467356,61068270,1470931635,2024.04.25
82,Locked Out Of Heaven,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,40,68,80,299,3515788,2.4,3433010,3331138,184650,62160945,966025599,2024.04.25
83,When I Was Your Man,Bruno Mars,ATLANTIC GROUP,ATLG,21,69,76,439,3508150,2.2,3431044,3234800,273350,67917322,1356128425,2024.04.25
84,That's What I Like,Bruno Mars,NOW,NOW ,1,66,74,388,3494705,1.2,3452067,3192096,302609,64122776,2076786249,2024.04.25
85,Golden Hour,Jvke,AWAL,AWAL,4,64,66,88,3488850,-2.2,3566644,3014512,474338,74142989,823183194,2024.04.25
86,Just The Way You Are,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,26,73,77,425,3457225,1.7,3400073,3218220,239005,63924425,1291816911,2024.04.25
87,You Make My Dreams,Hall & Oates, RCA,RCA,21,59,71,251,3428239,-5.6,3630410,3354004,74235,53568359,996851563,2024.04.25
88,In The Stars,Benson Boone,Warner Records,WAR,23,52,28,45,3414750,-11.9,3875236,3057022,357728,51053436,259777344,2024.04.25
89,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,1,29,37,79,3402856,-26.7,4644073,3178425,224431,87055550,549065823,2024.04.25
90,The Door,Teddy Swims,Warner Records,WAR,86,86,107,8,3382424,5.4,3208465,2994336,388088,32885032,39032452,2024.04.25
91,Another Love,Tom Odell, RCA,RCA,3,74,59,82,3364397,-0.4,3377967,2723008,641389,103519640,1278015473,2024.04.25
92,...Ready For It?,Taylor Swift,BIG MACHINE,BGMA,2,34,34,119,3339474,-25.2,4461829,3093565,245909,71560625,671472137,2024.04.25
93,August,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,7,55,61,86,3320674,-11.9,3771275,3264673,56001,60111336,491019501,2024.04.25
94,Cardigan,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,1,43,43,132,3280661,-20.7,4137347,3130266,150395,74427215,686469640,2024.04.25
95,Hide Away,Daya,Z ENTERTAINMENT,ZENT,14,142,0,65,3246078,22.0,2660045,3087666,158412,14159473,396328867,2024.04.25
96,Promiscuous,Nelly Furtado,INTERSCOPE/GEFFEN/A&M,INT ,13,76,75,195,3235547,-2.7,3324042,2983155,252392,58915184,899893630,2024.04.25
97,traitor,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,3,62,63,153,3233029,-10.5,3612976,2946899,286130,63614396,911752251,2024.04.25
98,Pain,Pinkpantheress,NEW ELEKTRA,NELK,43,100,96,73,3213707,5.9,3034362,3090022,123685,53746559,355817263,2024.04.25
99,LIKE A PRAYER,Madonna,WARNER RECORDS,WAR ,99,,,1,3204709,356.3,702370,900457,2304252,14826729,251335070,2024.04.25
100,Brandy (You're A Fine Girl),Looking Glass,SME/LEGACY RECORDINGS,LEGC,79,90,81,132,3151921,-0.3,3162135,3012206,139715,42007160,659529295,2024.04.25
101,You Need To Calm Down,Taylor Swift,REPUBLIC RECORDS,R-RR,2,40,51,199,3145886,-25.8,4236896,2940063,205823,67600093,957692150,2024.04.25
102,Without Me,Halsey,ASTRALWERKS,ASTW,1,83,82,290,3124994,-4.1,3257746,2648373,476621,57278338,2172567565,2024.04.25
103,Africa,Toto,EAGLE ROCK ENT.,EGRO,26,93,89,427,3067774,-2.1,3134672,2685794,381980,50282333,1312377755,2024.04.25
104,good 4 u,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,72,70,154,3065755,-9.9,3403536,2888867,176888,57975176,1299534702,2024.04.25
105,Poker Face,Lady Gaga,INTERSCOPE/GEFFEN/A&M,INT ,20,87,90,412,3040271,-5.1,3202573,2529993,510278,58977969,1124767959,2024.04.25
106,Stay,The Kid LAROI & Justin Bieber,Columbia Records,COL ,1,104,99,146,3031352,0.9,3003254,2688291,343060,60278640,1707731379,2024.04.25
107,Bad Idea Right?,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,60,54,37,3026997,-16.4,3620719,2878662,148335,69592108,282547677,2024.04.25
108,So American,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,8,37,30,5,3006236,-30.3,4314321,2912596,93640,26590991,26590991,2024.04.25
109,7 YEARS,Lukas Graham,WARNER RECORDS,WAR ,1,102,91,437,2997147,-0.8,3022064,2359673,637474,55727322,1705901533,2024.04.25
110,Come And Get Your Love,Redbone,CITY LIGHTS PIC,CLP ,10,123,0,95,2995090,7.3,2791234,2871416,123674,34122923,811187897,2024.04.25
111,Blank Space,Taylor Swift,BIG MACHINE,BGMA,18,79,83,375,2989083,-9.2,3293289,2543319,445764,61868854,1435711798,2024.04.25
112,Sweet Dreams (Are Made Of This),Eurythmics, RCA,RCA,9,101,98,318,2987869,-1.4,3029660,2629841,358028,74853340,1142619520,2024.04.25
113,Uptown Girl,Billy Joel,Columbia Records,COL ,98,98,102,11,2978569,-3.1,3072815,2865575,112994,41097134,548415941,2024.04.25
114,Deja Vu,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,2,78,68,161,2971233,-9.8,3294934,2703958,267275,57300507,918599448,2024.04.25
115,Bye,Ariana Grande,REPUBLIC RECORDS,R-RR,7,70,38,7,2966663,-13.4,3424904,2891585,75078,46000834,46000834,2024.04.25
116,Grenade,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,77,97,111,376,2964222,-3.8,3080437,2803305,160917,45837284,996178117,2024.04.25
117,Time of Our Lives,Pitbull & Ne-Yo, RCA,RCA,92,105,109,126,2952002,-1.5,2997911,2894710,57292,43593356,760520361,2024.04.25
118,Selfish,Justin Timberlake, RCA,RCA,6,92,57,13,2946127,-6.3,3142613,2677900,268227,71683922,71683922,2024.04.25
119,Karma,JoJo Siwa,SONY/COLUMBIA,COL,10,36,10,3,2945536,-31.8,4321329,1391130,1554406,15671766,15671766,2024.04.25
120,Casual,Chappell Roan,,,75,75,153,3,2945190,-11.7,3336014,2863878,81312,19437669,29190426,2024.04.25
121,Uptown Funk!,Mark Ronson Feat. Bruno Mars, RCA,RCA,7,111,104,439,2943985,0.7,2923470,2240386,703599,49745031,2551597502,2024.04.25
122,Don't Blame Me,Taylor Swift,BIG MACHINE,BGMA,27,53,62,107,2935132,-23.9,3858529,2870635,64497,70277159,532132513,2024.04.25
123,Kiss Me More,Doja Cat Feat. Sza, RCA,RCA,1,95,113,159,2929950,-5.2,3090235,2718133,211817,48845720,1086963828,2024.04.25
124,We Found Love,Rihanna Feat. Calvin Harris,DEF JAM RECORDINGS,DEF ,18,94,108,154,2924627,-6.1,3114163,2804605,120022,54597499,767765707,2024.04.25
125,Maneater,Hall & Oates, RCA,RCA,84,96,84,9,2899500,-5.9,3081752,2632203,267297,40374511,418270891,2024.04.25
126,Vienna,Billy Joel,Columbia Records,COL ,84,84,97,12,2891637,-10.6,3233974,2809041,82596,38946707,355580319,2024.04.25
127,Dandelions,Ruth B.,Columbia Records,COL ,7,118,114,124,2885099,2.0,2828731,2507694,377405,58154864,789477627,2024.04.25
128,Stayin' Alive,Bee Gees,CAPITOL MUSIC GROUP,CAP ,16,107,112,418,2883558,-2.8,2966434,2464941,418617,58946283,1213111571,2024.04.25
129,Say You Won't Let Go,James Arthur,Columbia Records,COL ,4,108,106,393,2878184,-2.6,2953846,2604076,274108,49272220,1793834672,2024.04.25
130,You Broke Me First,Tate Mcrae, RCA,RCA,8,114,120,169,2872764,0.6,2855875,2561948,310816,44975112,794305060,2024.04.25
131,HABITS (STAY HIGH),Tove Lo,ISLAND,ISL ,68,99,95,312,2869925,-6.4,3066216,2533520,336405,48019092,987702655,2024.04.25
132,The Way I Are,Timbaland Feat. Keri Hilson,INTERSCOPE/GEFFEN/A&M,INT ,87,121,100,45,2856689,1.1,2824409,2605062,251627,47251661,469150741,2024.04.25
133,Shake It Off,Taylor Swift,BIG MACHINE,BGMA,13,81,69,439,2822854,-14.2,3290351,2524489,298365,60684495,1756793457,2024.04.25
134,Set Fire To The Rain,Adele,Columbia Records,COL ,15,125,127,202,2816923,1.7,2770575,2385373,431550,59585544,928721385,2024.04.25
135,Shape Of You,Ed Sheeran,ATLANTIC GROUP,ATLG,1,122,123,381,2800079,-0.3,2807646,2408015,392064,50268883,2517425256,2024.04.25
136,Boy's A Liar,Pinkpantheress,300 ENTERTAINME,300E,1,134,165,73,2790339,3.5,2695483,2445510,344829,61445934,846406613,2024.04.25
137,Ghost,Justin Bieber,DEF JAM RECORDINGS,DEF ,8,89,101,142,2788791,-12.1,3171161,2623672,165119,54516419,662631662,2024.04.25
138,Dance Monkey,Tones And I,NEW ELEKTRA,NELK,1,127,121,246,2784291,1.1,2752673,2360682,423609,46440593,1574984587,2024.04.25
139,Ya Ya,Beyonce,Columbia Records,COL ,6,57,21,4,2774615,-24.7,3682445,2693766,80849,24080239,24080239,2024.04.25
140,Watermelon Sugar,Harry Styles,Columbia Records,COL ,2,110,115,223,2761993,-5.5,2924288,2652566,109427,42853836,1159518331,2024.04.25
141,Can't Stop The Feeling!,Justin Timberlake, RCA,RCA,2,116,135,399,2756950,-3.3,2850304,2384410,372540,46336005,1877849440,2024.04.25
142,get him back!,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,5,88,67,33,2737052,-14.0,3181381,2548625,188427,66498515,225557822,2024.04.25
143,Young And Beautiful,Lana Del Rey,INTERSCOPE/GEFFEN/A&M,INT ,81,106,174,46,2732175,-8.3,2977886,2511717,220458,47203605,699606506,2024.04.25
144,Eternal Sunshine,Ariana Grande,REPUBLIC RECORDS,R-RR,6,82,47,7,2728687,-16.8,3279036,2628837,99850,45991266,45991266,2024.04.25
145,Save Me,Jelly Roll, INDEPENDENT LABEL SUBMISSION,INDI,76,124,130,193,2721460,-1.8,2771371,1705583,1015877,45829660,487404228,2024.04.25
146,Sunroof,Nicky Youre & Dazy,SONY/COLUMBIA,COL,7,128,132,110,2716435,-0.9,2742456,2474399,242036,49697461,701152037,2024.04.25
147,Supernatural,"Ariana Grande, Troye Sivan",REPUBLIC RECORDS,R-RR,8,77,41,6,2715948,-17.9,3309221,2649452,66496,48345198,48345198,2024.04.25
148,Talking To The Moon,Bruno Mars,NEW ELEKTRA,NELK,15,137,131,185,2699928,0.7,2680474,2555170,144758,43402159,951998530,2024.04.25
