US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
189,Summer of '69,Bryan Adams,A&M RECORDS,AAM ,64,170,0,185,2200254,-2.4,2255103,2091422,108832,19928777,600899512,2024.03.07
190,Higher,Creed,BICYCLE MUSIC,BIKE,128,148,134,6,2199213,-6.3,2346017,2033978,165235,20928523,273050706,2024.03.07
191,Don'T You (Forget About Me),Simple Minds,A&M RECORDS,AAM ,136,155,182,52,2198139,-4.7,2305926,2027990,170149,19758278,544584326,2024.03.07
192,One Last Breath,Creed,BICYCLE MUSIC,BIKE,93,186,143,13,2174489,-1.3,2202236,1945150,229339,24074838,278647380,2024.03.07
193,Hold The Line,Toto,Columbia Records,COL ,4,0,0,11,2174368,47.6,1473250,2043928,130440,16551243,413228997,2024.03.07
194,Ride,Twenty One Pilots,FUELED BY RAMEN,FUER,1,0,0,386,2169008,3.0,2105654,1972948,196060,19063685,1287130343,2024.03.07
195,Island in the Sun,Weezer,INTERSCOPE/GEFFEN/A&M,INT ,69,200,188,164,2168423,1.5,2136499,2086054,82369,20831638,616469586,2024.03.07
196,The Kids Aren'T Alright,Offspring,Universal Music Enterprises,UME ,30,134,170,8,2165101,-11.2,2437096,2066300,98801,19421819,417659336,2024.03.07
197,Rock Star,Nickelback,ROADRUNNER RECORDS,ROAD,29,0,0,278,2164212,2.9,2103250,1847625,316587,19773548,695170238,2024.03.07
198,Free Fallin',Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,4,189,193,331,2163073,-1.3,2191059,2078433,84640,22327636,759378889,2024.03.07
199,Down With the Sickness,Disturbed, WARNER Records,WAR,39,0,0,409,2155007,1.2,2129016,1806050,348957,21796120,836540150,2024.03.07
200,You Give Love a Bad Name,Bon Jovi,ISL,ISL,96,168,0,30,2146481,-5.0,2259133,2030379,116102,20064331,547975541,2024.03.07
Copyright (c) 2024 Luminate Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2024.03.07
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.03.14
1,End Of Beginning,Djo,,,1,2,2,5,16725340,21.2,13801618,16268782,456558,56051589,75869821,2024.03.14
2,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,1,1,1,88,14249407,-5.4,15063630,13732604,516803,171305245,520315938,2024.03.14
3,My Love Mine All Mine,Mitski,Dead Oceans,DOC,1,3,3,26,8833560,-4.9,9288601,8463330,370230,119085455,303718185,2024.03.14
4,Scared To Start,Michael Marcagi,Warner Records,WAR,4,7,11,9,7196230,16.8,6161481,7063581,132649,43903926,43903926,2024.03.14
5,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,1,4,4,40,6793229,-5.6,7198614,6636091,157138,82497951,308280414,2024.03.14
6,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,1,5,5,411,6630925,4.2,6365665,6146773,484152,67811689,1549656341,2024.03.14
7,Home,Good Neighbours,[PIAS],K8M,6,8,6,8,5763788,-1.9,5875198,5683425,80363,43602611,43602611,2024.03.14
8,Sweater Weather,Neighbourhood,Columbia Records,COL ,1,9,7,433,5403418,-0.5,5428267,4830257,573161,73112981,1951350807,2024.03.14
9,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,1,12,8,323,4945615,-2.8,5089195,4334868,610747,65298446,1296609873,2024.03.14
10,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,2,11,13,363,4831254,-6.9,5188477,4413709,417545,57181057,1161640275,2024.03.14
11,Don't Stop Believin',Journey,Columbia Records,COL ,2,17,18,433,4745058,0.7,4712758,4242009,503049,49967887,1565378314,2024.03.14
12,Mr. Brightside,Killers,ISLAND,ISL,9,14,21,433,4719240,-2.6,4846809,4456706,262534,54729302,1376203951,2024.03.14
13,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,10,13,10,432,4688281,-7.5,5067159,4252948,435333,48991584,1021150152,2024.03.14
14,Lovers Rock,TV Girl,,,8,16,20,96,4677132,-1.4,4742200,4552189,124943,54061544,416282072,2024.03.14
15,Everlong,Foo Fighters, RCA,RCA,10,15,17,395,4621943,-3.0,4764591,4261033,360910,53534714,910630575,2024.03.14
16,Evergreen,Richy Mitch & The Coal Miners,,,16,24,29,28,4557253,4.4,4365125,4490265,66988,41144869,144686053,2024.03.14
17,Viva La Vida,Coldplay,ATLANTIC GROUP,ATLG,3,19,36,433,4529110,-2.3,4636599,4146241,382869,57896726,1180507468,2024.03.14
18,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,1,21,22,162,4440248,-2.3,4546130,3973969,466279,53505655,1825042067,2024.03.14
19,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,20,15,97,4430439,-4.3,4629059,4012728,417711,57977779,726748086,2024.03.14
20,Smells Like Teen Spirit,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,4,25,24,433,4279572,-1.9,4361496,3765348,514224,46490627,1354917099,2024.03.14
21,Take Me to Church,Hozier,Columbia Records,COL ,3,32,32,433,4264796,4.2,4092733,3838673,426123,54368877,1595057409,2024.03.14
22,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,6,27,28,433,4248875,1.6,4181569,3586723,662152,44463074,1379715335,2024.03.14
23,Iris,Goo Goo Dolls,WARNER RECORDS,WAR ,16,26,26,433,4220429,0.6,4194057,3841894,378535,44871215,954648890,2024.03.14
24,Northern Attitude,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,5,22,19,26,4195453,-5.4,4436213,4141774,53679,53356286,178266049,2024.03.14
25,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,3,34,27,59,4183351,2.5,4083268,4104436,78915,47715264,307164207,2024.03.14
26,Romantic Homicide,D4vd,,,1,18,16,84,4143006,-11.2,4665342,3853307,289699,53513048,605745484,2024.03.14
27,Thunderstruck,AC/DC,Columbia Records,COL ,8,28,40,433,4131273,-1.1,4177085,3591347,539926,41071668,1242411451,2024.03.14
28,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,3,37,14,433,4086141,1.1,4041176,3755124,331017,52510012,1445382410,2024.03.14
29,505,Arctic Monkeys, WBR - PARLOPHONE,WBR,9,39,41,192,4057089,1.1,4011302,3759184,297905,43871490,763983139,2024.03.14
30,Not Allowed,TV Girl,,,15,29,30,119,4043830,-3.1,4172420,3891246,152584,49432500,370284227,2024.03.14
31,I Wanna Be Yours,Arctic Monkeys,DOMINO,DOMI,17,33,34,89,4019049,-1.6,4085608,3723107,295942,50131028,516650125,2024.03.14
32,Poison,"Sam Haft, Blake Roman, Andrew Underberg",A24 Music,A24,8,23,12,8,3989697,-9.5,4410317,3508372,481325,37315365,37315365,2024.03.14
33,Creep,Radiohead,XLR,XLR,17,38,39,382,3973796,-1.3,4026697,3500865,472931,44012425,821985834,2024.03.14
34,Apocalypse,Cigarettes After Sex,PTKF,PTK ,20,36,44,123,3970942,-1.9,4047687,3767134,203808,43327122,531767718,2024.03.14
35,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,5,30,23,420,3934195,-5.3,4153179,3696782,237413,44668872,1105290249,2024.03.14
36,Believer,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,40,38,371,3904608,-0.8,3937392,3258115,646493,60398538,2995033902,2024.03.14
37,Numb,Linkin Park,WARNER RECORDS,WAR ,2,42,54,433,3888655,2.2,3804636,3392649,496006,36759780,1054227580,2024.03.14
38,Linger,Cranberries,ISLAND,ISL,8,35,25,17,3886923,-4.2,4057351,3649868,237055,40840884,391813051,2024.03.14
39,Kryptonite,3 Doors Down,REPUBLIC RECORDS,R-RR,31,31,31,433,3874285,-6.1,4126106,3523086,351199,40929337,1012333832,2024.03.14
40,Forever,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,10,9,5,3867209,-25.5,5192730,3820084,47125,33517092,33517092,2024.03.14
41,How You Remind Me,Nickelback,ROADRUNNER RECORDS,ROAD,41,50,65,309,3854672,5.4,3656196,3533730,320942,36622440,675326307,2024.03.14
42,Brown Eyed Girl,Van Morrison,SONY/COLUMBIA,COL,4,46,96,359,3808010,1.6,3749046,3652113,155897,30606954,902839218,2024.03.14
43,Cigarette Daydreams,Cage The Elephant, RCA,RCA,43,53,94,222,3775209,4.7,3604566,3698345,76864,32869463,696517719,2024.03.14
44,In the End,Linkin Park,WARNER RECORDS,WAR ,3,41,35,433,3757324,-2.7,3862920,3692729,64595,41338629,1118801570,2024.03.14
45,Sweet Child O' Mine,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,4,48,43,433,3699649,1.0,3663942,3311509,388140,40841843,1296443744,2024.03.14
46,Chop Suey!,System Of A Down,Columbia Records,COL ,6,45,63,433,3681711,-1.8,3750388,3320502,361209,35847243,961840482,2024.03.14
47,Somebody That I Used To Know,Gotye Feat. Kimbra,REPUBLIC RECORDS,R-RR,1,51,48,433,3674734,0.5,3656090,2912898,761836,44413964,1420424764,2024.03.14
48,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,7,43,45,98,3653639,-3.4,3783318,3238625,415014,40666316,529524503,2024.03.14
49,The Less I Know The Better,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,1,49,47,366,3610700,-1.4,3660872,3420589,190111,36704542,1042241484,2024.03.14
50,Pumped Up Kicks,Foster The People,SONY/COLUMBIA,COL,1,59,88,433,3606773,5.8,3408754,3237013,369760,34727177,1513299855,2024.03.14
51,Work Song,Hozier, AWAL,AWAL,31,52,46,72,3577959,-1.2,3621555,3399739,178220,39290363,459995639,2024.03.14
52,The Middle,Jimmy Eat World,INTERSCOPE/GEFFEN/A&M,INT ,33,44,33,391,3480249,-7.5,3762122,3397395,82854,35495253,726554320,2024.03.14
53,Thunder,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,47,49,359,3466265,-5.9,3684510,3120168,346097,39027800,1946899556,2024.03.14
54,I Love You So,Walters, WARNER Records,WAR ,4,58,57,127,3399883,-1.0,3434658,3217033,182850,38425550,581640067,2024.03.14
55,She Calls Me Back,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,8,55,42,24,3396994,-4.9,3571642,3370814,26180,40540912,130838436,2024.03.14
56,Shut Up and Dance,Walk The Moon, RCA,RCA,3,80,123,425,3392153,12.0,3029804,3197447,194706,28937382,1182666974,2024.03.14
57,Livin' On A Prayer,Bon Jovi,ISLAND,ISL ,18,56,50,433,3371694,-2.5,3459442,3027934,343760,36187768,1083390543,2024.03.14
58,Feel Good Inc,Gorillaz,CAPITOL MUSIC GROUP,CAP ,12,75,75,433,3360377,7.1,3138554,2947750,412627,36112193,987446278,2024.03.14
59,Yellow,Coldplay,ATLANTIC GROUP,ATLG,1,60,53,374,3331323,-1.8,3393084,3321189,10134,37771324,1001632999,2024.03.14
60,Your Love,Outfield,SONY/COLUMBIA,COL,31,68,99,336,3330586,1.5,3280626,2955119,375467,27934826,734724135,2024.03.14
61,Cigarettes Out The Window,TV Girl,,,34,63,61,58,3295696,-1.0,3329543,3135199,160497,39014732,255342043,2024.03.14
62,Sparks,Coldplay,ATLANTIC GROUP,ATLG,25,57,89,131,3275663,-5.0,3447462,3168898,106765,34959204,476387117,2024.03.14
63,Every Breath You Take,Police,SME/LEGACY RECORDINGS,LEGC,26,72,51,433,3268860,2.5,3188641,2941516,327344,34962493,929447645,2024.03.14
64,Landslide,Fleetwood Mac,WARNER RECORDS,WAR ,13,67,67,332,3262413,-1.1,3298697,3107996,154417,35365061,836464936,2024.03.14
65,Seven Nation Army,White Stripes,03397,XLXR,31,65,58,433,3251362,-2.2,3323353,3145082,106280,37234003,944520792,2024.03.14
66,Out Of My League,Fitz & The Tantrums,NEW ELEKTRA,NELK,24,77,82,203,3242257,5.2,3080945,3150471,91786,30723828,628127037,2024.03.14
67,Come As You Are,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,52,66,55,417,3227739,-2.2,3300461,3024781,202958,33842633,773418783,2024.03.14
68,The Chain,Fleetwood Mac,WARNER RECORDS,WAR ,8,73,71,360,3205895,1.4,3162768,3013351,192544,33531949,950927936,2024.03.14
69,Space Song,Beach House, SUB POP,SUBP,1,69,64,157,3188418,-2.8,3279349,2924326,264092,44275490,795681137,2024.03.14
70,Santeria,Sublime,INTERSCOPE/GEFFEN/A&M,INT ,35,83,86,433,3168352,8.7,2914403,3138042,30310,30655451,914172283,2024.03.14
71,You Shook Me All Night Long,AC/DC,Columbia Records,COL ,43,78,111,374,3158500,3.1,3064348,3005242,153258,27818809,796132902,2024.03.14
72,Stressed Out,Twenty One Pilots,FUELED BY RAMEN,FUER,1,61,66,433,3153100,-6.8,3382991,2681814,471286,34654335,1810088746,2024.03.14
73,Here Comes The Sun,Beatles,CAPITOL MUSIC GROUP,CAP ,23,70,68,355,3130399,-2.9,3224037,2994262,136137,30874664,814824856,2024.03.14
74,Bring Me To Life,Evanescence,BICYCLE MUSIC,BIKE,8,74,70,428,3126674,-0.7,3148546,2615652,511022,35385292,1151324036,2024.03.14
75,You’re Gonna Go Far,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,6,54,37,40,3121042,-13.0,3589381,3083146,37896,38730581,115897227,2024.03.14
76,Sweet Home Alabama,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,5,79,69,432,3105490,1.7,3053650,2957373,148117,32287631,1116234504,2024.03.14
77,"Paint It, Black",Rolling Stones,ABKCO,ABK ,43,62,52,418,3048293,-9.6,3372723,2752721,295572,32364346,783325990,2024.03.14
78,Under The Bridge,Red Hot Chili Peppers,CAPITOL MUSIC GROUP,CAP ,47,85,90,433,3044023,4.8,2903933,2848755,195268,30576669,890277072,2024.03.14
79,Overcompensate,Twenty One Pilots,FUELED BY RAMEN,FUER,6,6,0,2,3010260,-52.2,6297312,2765061,245199,10730207,10730207,2024.03.14
80,More Than a Feeling,Boston,EPIC,EPIC,51,96,112,429,3003488,6.1,2832007,2792589,210899,27219771,843885373,2024.03.14
81,I'm Just Ken,Ryan Gosling,,,7,0,0,13,2996802,421.8,574284,1185630,1811172,12172598,86129206,2024.03.14
82,Break Stuff,Limp Bizkit,INTERSCOPE/GEFFEN/A&M,INT ,56,64,56,66,2983518,-10.3,3326487,2801572,181946,30821316,478270071,2024.03.14
83,Babydoll,Dominic Fike,SONY/COLUMBIA,COL,83,98,0,6,2977503,5.4,2824211,2961933,15570,23881791,184932247,2024.03.14
84,Jealous,Eyedress,,,33,81,79,143,2954942,-1.4,2996311,2817024,137918,32955137,379961434,2024.03.14
85,Heart To Heart,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,15,71,59,66,2923546,-8.9,3209975,2783187,140359,35331055,262477934,2024.03.14
86,All My Love,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,34,76,62,26,2915450,-5.7,3092778,2881145,34305,33641501,125003898,2024.03.14
87,Tek It,Cafune,NEW ELEKTRA,NELK,6,102,102,100,2907217,3.8,2800616,2619493,287724,30031255,330856415,2024.03.14
88,...Baby One More Time,Tenacious D,,,88,,,1,2894984,3129.2,89649,1474341,1420643,2984830,2984830,2024.03.14
89,Ain'T No Rest For The Wicked,Cage The Elephant, RCA,RCA,82,116,181,354,2888509,8.9,2651375,2746585,141924,24352182,693611853,2024.03.14
90,Zombie,Cranberries,ISLAND,ISL,4,88,84,307,2884607,0.2,2880195,2480514,404093,29963689,703982082,2024.03.14
91,Eye Of The Tiger,Survivor, RCA,RCA,3,91,105,433,2874289,0.2,2868716,2514974,359315,39370641,1342608259,2024.03.14
92,Scar Tissue,Red Hot Chili Peppers,WARNER RECORDS,WAR ,92,110,113,259,2855492,5.3,2712206,2705321,150171,27841906,653845643,2024.03.14
93,Bohemian Rhapsody,Queen,HOLLYWOOD RECORDS,HOL ,1,82,85,433,2850181,-3.4,2949195,2812129,38052,32049759,1673577390,2024.03.14
94,Blue Hair,TV Girl,,,53,84,83,15,2843282,-2.4,2913463,2708024,135258,33211424,175660097,2024.03.14
95,Take It Easy,Eagles,EEG,EEG,31,93,95,321,2836492,-0.2,2841080,2752037,84455,29551004,772647121,2024.03.14
96,Sex on Fire,Kings Of Leon, RCA,RCA,77,104,188,185,2826921,1.9,2774695,2709903,117018,24535810,597105304,2024.03.14
97,Daddy Issues,Neighbourhood,Columbia Records,COL ,5,89,139,198,2818707,-1.9,2874205,2581407,237300,28462189,752886231,2024.03.14
98,Do I Wanna Know?,Arctic Monkeys,DOMINO,DOMI,24,100,93,433,2802590,-0.1,2805328,2506607,295983,31873924,937209709,2024.03.14
99,(I Hate) Everything About You,Three Days Grace, RCA,RCA,37,87,128,417,2776755,-3.8,2886972,2567419,209336,27381752,757091248,2024.03.14
100,Rocket Man,Elton John,ISLAND,ISL ,12,97,74,360,2773443,-2.0,2830748,2632780,140663,30879886,906979179,2024.03.14
101,Animal I Have Become,Three Days Grace, RCA,RCA,50,90,115,333,2767800,-3.6,2872539,2443628,324172,27462375,750013671,2024.03.14
102,Another One Bites The Dust,Queen,HOLLYWOOD RECORDS,HOL ,6,99,81,340,2746830,-2.5,2816390,2581189,165641,31117598,1051612937,2024.03.14
103,Simple Man,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,7,95,77,433,2739864,-3.3,2832075,2408486,331378,29634177,1033990741,2024.03.14
104,"Hey, Soul Sister",Train,SONY/COLUMBIA,COL,52,117,187,374,2733095,3.1,2650507,2621777,111318,24621058,804011827,2024.03.14
105,Enter Sandman,Metallica,WARNER RECORDS,WAR ,31,107,103,433,2724545,-0.8,2745333,2631829,92716,29359077,956475834,2024.03.14
106,All The Small Things,Blink-182,SONY BMG STRATEGIC MARKETING,SBSM,65,113,121,431,2714369,1.5,2673391,2596320,118049,28835561,736458801,2024.03.14
107,BLACK HOLE SUN,Soundgarden,A&M RECORDS,AAM ,6,101,73,104,2710321,-3.3,2802596,2503427,206894,28264223,602385456,2024.03.14
108,Back In Black,AC/DC,THE ORCHARD,ORCH,25,122,108,433,2708725,2.9,2631883,2516309,192416,28071896,965843230,2024.03.14
109,Walking on a Dream,Empire Of The Sun,ASTRALWERKS,ASTW,17,112,91,306,2707652,0.8,2687126,2559818,147834,28551107,690073955,2024.03.14
110,Fast Car,Tracy Chapman,SHTF,SHTF,5,94,60,97,2704923,-4.6,2835138,2475967,228956,33812630,569089129,2024.03.14
111,Condemned,Zach Bryan,,,111,141,156,19,2695054,10.5,2438925,2680824,14230,25623360,215105180,2024.03.14
112,Fade Into You,Mazzy Star,CAPITOL MUSIC GROUP,CAP ,59,103,98,83,2679123,-4.1,2792496,2450516,228607,31689097,501328768,2024.03.14
113,Dream On,Aerosmith,Columbia Records,COL ,1,125,107,428,2668155,1.9,2619527,2444329,223826,39043358,1158670718,2024.03.14
114,Ophelia,Lumineers,DUA,DUA,2,120,122,423,2667120,1.0,2640115,2579380,87740,31156663,1143215415,2024.03.14
115,Everywhere Everything,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,15,92,76,15,2644701,-7.6,2860887,2610323,34378,36778118,103166367,2024.03.14
116,Need 2,Pinegrove,,,30,86,100,40,2636932,-9.1,2901501,2526710,110222,31657405,122355883,2024.03.14
117,Go Your Own Way,Fleetwood Mac,WARNER RECORDS,WAR ,39,137,129,211,2627344,5.5,2491343,2565043,62301,25638706,628830388,2024.03.14
118,"Sex, Drugs, Etc.",Beach Weather,Arista,ARI,33,126,191,83,2619863,0.0,2618760,2528059,91804,26962358,282878368,2024.03.14
119,Bad Moon Rising,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,34,106,78,302,2619750,-5.0,2758722,2529751,89999,27665692,667315286,2024.03.14
120,Brazil,Declan Mckenna,Columbia Records,COL ,109,151,0,10,2607907,8.8,2397189,2571865,36042,19299765,269881149,2024.03.14
121,Why'd You Only Call Me When You're High?,Arctic Monkeys,DOMINO,DOMI,10,128,124,177,2607225,1.1,2580103,2522460,84765,29729764,592369169,2024.03.14
122,Highway To Hell,AC/DC,Columbia Records,COL ,12,129,196,418,2606881,1.1,2578791,2466247,140634,23312617,845103402,2024.03.14
123,Softcore,Neighbourhood,Columbia Records,COL ,10,131,194,114,2592056,0.6,2577093,2436213,155843,27632987,356428502,2024.03.14
124,Carry On My Wayward Son,Kansas,EPIC,EPIC,42,115,177,425,2591358,-2.3,2653660,2396711,194647,24841216,869296631,2024.03.14
125,Duvet,Boa (Uk Rock),THE ORCHARD,ORCH,67,105,106,29,2590048,-6.5,2768800,2404310,185738,31676052,190302019,2024.03.14
126,Tongue Tied,Grouplove,ATLANTIC GROUP,ATLG,2,133,117,271,2588145,1.1,2560265,2547730,40415,26087002,795001583,2024.03.14
127,Bones,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,111,109,105,2585893,-4.4,2705456,2216494,369399,66020215,800912223,2024.03.14
128,Demons,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,119,104,433,2564895,-2.9,2641532,2352015,212880,36598197,1437831000,2024.03.14
129,Somewhere Only We Know,Keane,INTERSCOPE/GEFFEN/A&M,INT ,6,114,101,80,2547684,-4.5,2667320,2250830,296854,36815115,546635236,2024.03.14
130,Dog Days Are Over,Florence + The Machine,REPUBLIC RECORDS,R-RR,27,109,97,90,2546555,-6.8,2731829,2410871,135684,30023287,594959587,2024.03.14
131,For The First Time,Mac DeMarco, INDEPENDENT LABEL SUBMISSION,INDI,83,130,125,99,2529264,-1.9,2578411,2449904,79360,29235694,320663249,2024.03.14
132,Drive,Incubus,EPIC,EPIC,132,152,0,4,2528934,5.9,2388942,2398763,130171,21516944,511497225,2024.03.14
133,Freaks,Surf Curse,ATLANTIC GROUP,ATLG,8,135,161,152,2527404,-0.9,2550951,2301948,225456,32381956,563058917,2024.03.14
134,Free Bird,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,6,123,119,384,2509370,-4.5,2628229,2146349,363021,38352895,832095104,2024.03.14
135,Cry,Cigarettes After Sex,PTKF,PTK ,19,121,138,81,2507828,-4.8,2634346,2318919,188909,32552695,256363444,2024.03.14
136,Misery Business,Paramore,FUELED BY RAMEN,FUER,24,161,158,213,2497383,6.9,2336305,2354952,142431,26238055,679361354,2024.03.14
137,Drops Of Jupiter (Tell Me),Train,Columbia Records,COL ,44,139,0,313,2493335,1.2,2462950,2477579,15756,22373021,713211764,2024.03.14
138,Here With Me,D4vd,,,1,118,110,75,2483862,-6.1,2643836,2299727,184135,32295350,382833927,2024.03.14
139,Let Her Go,Passenger,NOW,NOW ,4,148,147,433,2481599,3.4,2399065,1982528,499071,29840652,1332113217,2024.03.14
140,K.,Cigarettes After Sex,PTKF,PTK ,121,127,142,41,2479970,-4.6,2599671,2385508,94462,26849462,262783371,2024.03.14
141,Ceilings,Lizzy Mcalpine,,,1,134,116,61,2460241,-3.7,2554576,2381635,78606,30370542,280619448,2024.03.14
142,Radioactive,Imagine Dragons,THE ORCHARD,ORCH,3,136,120,433,2457726,-1.7,2499375,2245233,212493,26798877,1518392281,2024.03.14
143,I Was All Over Her,Salvia Palth,,,103,132,126,20,2439795,-4.9,2564264,2348275,91520,27887474,231613873,2024.03.14
144,Welcome To The Jungle,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,26,138,118,433,2432041,-1.7,2474958,2263663,168378,25615526,855888229,2024.03.14
145,Crazy Train,Ozzy Osbourne,EPIC,EPIC,78,142,0,221,2422518,0.1,2420669,2269083,153435,23221758,644299399,2024.03.14
146,Way Down We Go,Kaleo,NEW ELEKTRA,NELK,4,163,0,281,2416965,3.9,2326081,2082265,334700,49763915,781191265,2024.03.14
147,Californication,Red Hot Chili Peppers, WARNER Records,WAR,51,143,141,371,2416332,0.2,2412539,2163100,253232,23626243,722488169,2024.03.14
148,I'm Yours,Jason Mraz,ATLANTIC GROUP,ATLG,13,155,144,407,2414732,1.4,2381642,2280546,134186,24698810,1056060187,2024.03.14
149,Piano Man,Billy Joel,Columbia Records,COL ,5,150,159,409,2413941,0.7,2397492,2236450,177491,23100909,927419963,2024.03.14
150,My Kind of Woman,Mac DeMarco,CTS,CTS,39,140,140,116,2406479,-1.6,2444736,2224286,182193,26978677,460901937,2024.03.14
151,Toxicity,System Of A Down,Columbia Records,COL ,64,157,0,92,2392278,0.7,2375446,2096128,296150,22763678,559999335,2024.03.14
152,Everywhere,Fleetwood Mac,WARNER RECORDS,WAR ,83,164,153,63,2385117,2.6,2324649,2288198,96919,24682499,414493722,2024.03.14
153,Brain Stew,Green Day,WARNER RECORDS,WAR ,68,144,133,16,2380912,-1.2,2409334,2318776,62136,29288730,311823271,2024.03.14
154,One Step Closer,Linkin Park,WARNER RECORDS,WAR ,11,159,0,7,2378320,0.9,2357232,2306086,72234,21003184,413399757,2024.03.14
155,I Write Sins Not Tragedies,Panic! At The Disco,ADA/FUELED BY R,FRA ,22,171,0,377,2365852,3.9,2276605,2229635,136217,21881285,895320130,2024.03.14
156,Paranoid,Black Sabbath,SNCI,SNCI,131,158,131,18,2365776,0.1,2364285,2235297,130479,23997815,480210689,2024.03.14
157,Borderline,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,17,147,136,71,2363315,-1.6,2401012,2251157,112158,24672102,387494939,2024.03.14
158,Don't Stop Me Now,Queen,HOLLYWOOD RECORDS,HOL ,8,154,114,418,2349473,-1.4,2383208,2183637,165836,25254960,943608736,2024.03.14
159,Under Pressure,Queen & David Bowie,SONY/COLUMBIA,COL,3,182,137,391,2331332,4.5,2230139,2260034,71298,24032546,885520351,2024.03.14
160,Change (In the House of Flies),Deftones,WARNER RECORDS,WAR ,118,149,178,64,2329103,-2.9,2398842,2163690,165413,24466727,411566328,2024.03.14
161,Island in the Sun,Weezer,INTERSCOPE/GEFFEN/A&M,INT ,69,195,200,165,2323966,7.2,2168425,2232092,91874,23155606,618793554,2024.03.14
162,Hold The Line,Toto,Columbia Records,COL ,4,193,0,12,2319367,6.7,2174370,2180529,138838,18870612,415548366,2024.03.14
163,Electric Feel,MGMT,Columbia Records,COL ,18,169,0,200,2315242,1.1,2289047,2224065,91177,19998775,631776818,2024.03.14
164,"Sugar, We're Goin Down",Fall Out Boy,ISLAND,ISL,79,168,172,432,2305480,0.0,2304422,2198184,107296,24516281,758953023,2024.03.14
165,Let The Light In,Lana Del Rey,INTERSCOPE/GEFFEN/A&M,INT ,53,108,87,30,2301662,-16.1,2743149,2241570,60092,31482402,111651086,2024.03.14
166,Rhiannon,Fleetwood Mac,WARNER RECORDS,WAR ,14,0,199,192,2295074,7.2,2141808,2210344,84730,22780319,626676386,2024.03.14
167,Can't Stop,Red Hot Chili Peppers,WARNER RECORDS,WAR ,104,174,185,60,2291219,0.9,2270232,2157214,134005,24860293,573088186,2024.03.14
168,Good Looking,Suki Waterhouse, SUB POP,SUBP,25,146,127,17,2283706,-5.0,2403561,2216068,67638,24563586,163034045,2024.03.14
169,Chamber Of Reflection,Mac DeMarco, INDEPENDENT LABEL SUBMISSION,INDI,37,156,146,142,2282722,-4.1,2379278,2108420,174302,28501495,546109076,2024.03.14
