US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
82,Free Bird,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,39,72,57,346,3174776,-11.0,3567797,2346036,828740,82169540,691091466,2023.06.22
83,Feel Good Inc,Gorillaz,CAPITOL MUSIC GROUP,CAP ,12,92,83,395,3170653,3.1,3075163,2612652,558001,75964901,876409586,2023.06.22
84,Pumped Up Kicks,Foster The People,SONY/COLUMBIA,COL,1,93,87,395,3167697,3.3,3066169,2509737,657960,72666460,1393097066,2023.06.22
85,King For A Day,Pierce The Veil,FEARLESS RECORD,FEAR,29,0,196,44,3158011,49.6,2110698,1833331,1324680,55105596,320680594,2023.06.22
86,"Paint It, Black",Rolling Stones,ABKCO,ABK ,43,103,89,380,3144184,7.0,2939591,2449091,695093,69683796,677671231,2023.06.22
87,Way Down We Go,Kaleo,NEW ELEKTRA,NELK,20,136,154,244,3127818,22.3,2556517,1647812,1480006,51151275,572877665,2023.06.22
88,Bring Me To Life,Evanescence,BICYCLE MUSIC,BIKE,8,82,82,390,3109551,-4.3,3249893,2328194,781357,71436940,1028420174,2023.06.22
89,The Less I Know The Better,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,1,96,79,328,3106395,2.1,3041394,2912802,193593,74334506,927573028,2023.06.22
90,Seven Nation Army,White Stripes,03397,XLXR,31,101,81,395,3102040,4.9,2957642,2919948,182092,75845084,820585158,2023.06.22
91,Landslide,Fleetwood Mac,WARNER RECORDS,WAR ,13,95,74,294,3090254,1.5,3043787,2925595,164659,74877435,717098088,2023.06.22
92,Back In Black,AC/DC,THE ORCHARD,ORCH,25,100,92,395,3088391,3.9,2973019,2742923,345468,68396486,866605353,2023.06.22
