Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
76,Lady May,Tyler Childers,,,25,78,84,154,3199274,-0.7,3221140,3094114,105160,78080302,445659379,2023.06.22
77,Flower Shops,Ernest Feat. Morgan Wallen,Big Loud Records,BLR,6,81,79,77,3173046,1.5,3127107,3052444,120602,86841315,299390811,2023.06.22
78,Thinking 'Bout You,Dustin Lynch Feat. Mackenzie Porter,BROKEN BOW RECO,BB2 ,4,83,88,133,3146647,2.9,3056775,3099745,46902,70363068,443845003,2023.06.22
79,Country Girl (Shake It For Me),Luke Bryan,CAPITOL NASHVILLE,CAPN,30,73,80,395,3136099,-7.2,3380096,2843693,292406,69750029,638992391,2023.06.22
80,One Man Band,Old Dominion,RCA NASHVILLE,RCNA,2,82,85,231,3116139,1.9,3057550,2881265,234874,72018292,902458523,2023.06.22
81,Human,Cody Johnson, WARNER Records,WAR ,48,74,76,43,3054897,-9.4,3370613,2880945,173952,79882046,147863455,2023.06.22
82,Outskirts,Sam Hunt,MCA NASHVILLE,MCAN,82,116,102,10,3050047,21.7,2506061,3007555,42492,32604411,32604411,2023.06.22
83,Watermelon Moonshine,Lainey Wilson,BROKEN BOW RECO,BB2 ,83,96,116,6,3026676,10.1,2748232,2932641,94035,35729322,43082375,2023.06.22
84,Neon Moon,Brooks & Dunn,RCA LABEL GROUP SMG,RLSG,21,85,87,348,3006102,0.6,2986707,2568323,437779,72713520,655142113,2023.06.22
85,In Case You Didn't Know,Brett Young,BMX,BMX ,2,90,89,344,2995483,6.3,2818843,2328562,666921,76351595,1363936968,2023.06.22
86,You Belong With Me,Taylor Swift,BIG MACHINE,BGMA,18,86,91,371,2986541,1.3,2948469,2593244,393297,67751169,741492390,2023.06.22
87,Something's Gonna Kill Me,Corey Kent,RCA NASHVILLE,RCNA,66,70,66,3,2966593,-13.0,3411427,2938160,28433,15718514,15718514,2023.06.22
88,What He Didn't Do,Carly Pearce,BIG MACHINE,BGMA,25,94,90,65,2923429,6.3,2751269,2749347,174082,96591555,227184538,2023.06.22
89,Heaven,Kane Brown,SME/LEGACY RECORDINGS,LEGC,1,88,83,298,2915040,1.5,2870598,2471825,443215,74172183,1437653132,2023.06.22
90,You Belong With Me (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,5,92,96,30,2899519,4.9,2763836,2347582,551937,49959663,154015184,2023.06.22
91,Somebody's Problem,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,1,87,100,135,2836689,-1.6,2882959,2706741,129948,69665834,466290332,2023.06.22
92,"Take Me Home, Country Roads",John Denver,LEG,LEG,17,102,103,367,2827620,6.3,2660891,2512342,315278,69188040,800278797,2023.06.22
93,Straight And Narrow,Sam R Barber,ATLANTIC GROUP,ATLG,49,95,82,12,2817405,2.3,2754119,2639817,177588,41195073,41492422,2023.06.22
94,PLAY IT AGAIN,Luke Bryan,CAPITOL NASHVILLE,CAPN,12,101,114,395,2810110,5.4,2665129,2603653,206457,55708428,845632238,2023.06.22
95,Girl In Mine,Parmalee,STONEY CREEK RE,SC2 ,95,155,142,12,2788772,28.9,2162700,2769660,19112,38770842,46185124,2023.06.22
96,This Damn Song,Pecos & The Rooftops,Warner Records,WAR,60,91,101,118,2780786,0.4,2770823,2448473,332313,60976991,290868113,2023.06.22
97,Dirt Road Anthem,Jason Aldean,NOW,NOW ,31,104,104,395,2750098,3.4,2660336,2526621,223477,58774136,751826170,2023.06.22
98,Dirt On My Boots,Jon Pardi,CAPITOL NASHVILLE,CAPN,2,103,107,353,2744599,3.1,2661902,2623059,121540,59874743,776968881,2023.06.22
99,Broken Halos,Chris Stapleton,MERCURY NASHVILLE,MERN,15,98,108,323,2735305,0.8,2712555,2606850,128455,62760088,693880044,2023.06.22
100,Head Over Boots,Jon Pardi,CAPITOL NASHVILLE,CAPN,2,100,93,395,2725910,1.4,2687411,2659307,66603,63104509,708856261,2023.06.22
101,The Way I Talk,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,72,107,105,259,2704282,2.7,2633033,2588720,115562,58761630,485815093,2023.06.22
102,5 Leaf Clover,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,84,92,14,2701189,-9.7,2990221,2643241,57948,74781405,74781405,2023.06.22
103,Springsteen,Eric Church,EMI NASHVILLE,ENAS,46,106,98,395,2678504,1.6,2637229,2608383,70121,51775507,608828382,2023.06.22
104,Burn It Down,Parker Mccollum,MCA NASHVILLE,MCAN,104,164,0,2,2676974,27.6,2097540,2641581,35393,11466257,11466257,2023.06.22
105,We Don'T Fight Anymore,Carly Pearce,,,105,,,1,2673492,113908.2,2345,2554106,119386,2675837,2675837,2023.06.22
106,Better Together,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,97,140,189,2653054,-3.5,2747951,2502865,150189,57484080,681761945,2023.06.22
107,God's Country,Blake Shelton, WARNER Records,WAR ,1,117,95,221,2651761,5.8,2506209,2371959,279802,66830907,831719552,2023.06.22
108,Die A Happy Man,Thomas Rhett,ELI YOUNG,VALO,1,109,97,395,2629257,2.5,2565327,2483019,146238,68059692,1208331071,2023.06.22
109,"You, Me, And Whiskey",Justin Moore & Priscilla Block,VALORY,VALO,66,80,73,30,2620007,-16.9,3154276,2536473,83534,68477565,81730064,2023.06.22
110,Everything She Ain't,Hailey Whitters,Big Loud Records,BLR,32,99,110,57,2615205,-3.3,2705078,2552606,62599,67357028,159863804,2023.06.22
111,We Ride,Bryan Martin,,,99,105,99,25,2604413,-1.6,2647085,2345876,258537,50103941,57932162,2023.06.22
112,Life Is A Highway,Rascal Flatts,DISNEY,DISN,41,124,111,389,2581694,7.3,2405957,2129116,452578,65401788,548691339,2023.06.22
113,I Hope,Gabby Barrett,WARNER RECORDS,WAR ,1,122,122,224,2571033,5.7,2432819,2329204,241829,62525139,1018554340,2023.06.22
114,Cruise,Florida Georgia Line,BMX,BMX ,12,108,106,395,2558945,-2.3,2620015,2388859,170086,53280273,815118484,2023.06.22
115,Tequila,Dan + Shay, WARNER Records,WAR ,2,123,146,282,2555097,5.2,2429257,2500481,54616,48383592,1149491833,2023.06.22
116,Fishin' in the Dark,Nitty Gritty Dirt Band,CAPITOL NASHVILLE,CAPN,98,121,112,255,2528147,3.4,2443838,2310322,217825,54563813,434895650,2023.06.22
117,Chasing After You,Ryan Hurd w/ Maren Morris,ARISTA NASHVILLE,ARNV,2,132,128,123,2516287,7.3,2345400,2355710,160577,59867205,501273877,2023.06.22
118,Hell's Comin' With Me,Poor Mans Poison,,,10,110,70,56,2514316,-1.9,2562692,611468,1902848,118660149,194828497,2023.06.22
119,White House Road,Tyler Childers & The Highwall,HICKMAN HOLLER RECORDS,HICK,89,111,121,24,2513910,-1.5,2551892,2420840,93070,58251613,405323558,2023.06.22
120,This Bar,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,25,112,117,181,2493979,-1.4,2528346,2435850,58129,65502182,404547025,2023.06.22
121,One Beer,HARDY Feat. Lauren Alaina & Devin Dawson,Big Loud Records,BLR,10,118,163,183,2465018,-0.9,2487672,2428098,36920,47557068,469520698,2023.06.22
122,Drunk (And I Don'T Wanna Go Home),Elle King & Miranda Lambert, RCA,RCA,7,143,115,106,2460088,9.8,2240497,2342322,117766,59331493,410589329,2023.06.22
123,Give Heaven Some Hell,Hardy,Big Loud,BGL,42,113,126,143,2460085,-2.6,2525350,2316044,144041,58296695,301491282,2023.06.22
124,Pretty Little Poison,Warren Zeiders,Warner Records,WAR,119,119,127,9,2451823,-0.7,2469922,2346705,105118,28535052,28535052,2023.06.22
125,Can'T Have Mine,Dylan Scott,CURB,CURB,63,137,129,50,2446947,6.4,2300108,2401650,45297,43198046,116169212,2023.06.22
126,Love Story,Taylor Swift,BIG MACHINE,BGMA,25,120,119,395,2421101,-1.7,2461808,2301201,119900,57215176,683467576,2023.06.22
127,Rumor,Lee Brice,CURB,CURB,4,130,120,258,2420027,2.4,2364308,2233408,186619,57340271,762383836,2023.06.22
