Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
63,Faded,Alan Walker, RCA,RCA,1,62,63,391,1484926,-0.8,1497002,1064435,420491,38111584,1406897351,2023.06.22
64,Brazilian Phonk Mano,Lucaf Slowboy,,,64,95,146,3,1473176,33.8,1101000,190506,1282670,10036498,10036498,2023.06.22
65,Taki Taki,"Dj Snake Feat. Selena Gomez , Ozuna & Cardi B",THE ORCHARD,ORCH,1,79,72,247,1455837,14.1,1275997,883989,571848,36232377,1009290716,2023.06.22
66,Ngana Rindu?,Dj Lucu,EVERYTHING TO EVERYONE,UME,31,31,64,8,1444558,-42.1,2493707,495,1444063,13761058,24315881,2023.06.22
67,Let Me Love You,DJ Snake Feat. Justin Bieber,INTERSCOPE/GEFFEN/A&M,INT ,1,66,67,359,1433945,0.1,1432275,1263794,170151,34083145,1025374985,2023.06.22
68,Bonkers,Staplegun,THE ORCHARD,ORCH,34,72,167,25,1431214,6.8,1339692,181754,1249460,29607197,35735083,2023.06.22
69,Gigachad Theme,G3ox_Em,THE ORCHARD,ORCH,9,58,41,33,1429063,-9.6,1580962,741288,687775,37329203,43754966,2023.06.22
70,Hislerim,Serhat Durmus Feat. Zerrin,,,1,80,81,119,1428472,15.0,1241699,74093,1354379,34262855,287491847,2023.06.22
71,Don't You Worry Child,Swedish House Mafia Feat. John Martin,ASTRALWERKS,ASTW,44,73,73,393,1376852,2.9,1337901,1228147,148705,33830297,392550624,2023.06.22
72,Rather Be,Clean Bandit Feat. Jess Glynne,NOW,NOW ,11,67,51,395,1360539,-4.2,1419776,1155021,205518,34229985,605754209,2023.06.22
73,Higher Love,Kygo & Whitney Houston, RCA,RCA,5,56,62,208,1327156,-18.4,1625496,1267042,60114,33015739,388491272,2023.06.22
74,SEXY CHICK,David Guetta Feat. Akon,ATLANTIC GROUP,ATLG,23,75,79,216,1323051,-0.4,1328727,1189810,133241,32370589,289138568,2023.06.22
75,Rapture,Interworld,,,37,71,86,20,1320312,-1.4,1338996,404858,915454,28394035,29328877,2023.06.22
76,Warning,Mc Orsen,THE ORCHARD,ORCH,9,63,69,42,1313779,-11.5,1485057,469383,844396,43213728,59108386,2023.06.22
77,Ride It,Regard,EPIC,EPIC,2,84,87,204,1303080,6.2,1227336,1080629,222451,34405828,499412707,2023.06.22
78,Don't Be Shy,Tiesto & KAROL G,ATLANTIC GROUP,ATLG,2,103,115,97,1278490,22.9,1040506,832445,446045,26988095,148855515,2023.06.22
79,Turn Down For What,Dj Snake,SONY/COLUMBIA,COL,6,69,74,395,1268055,-9.2,1396399,796506,471549,32929522,819675554,2023.06.22
80,Clarity,Zedd Feat. Foxes,INTERSCOPE/GEFFEN/A&M,INT ,19,81,82,395,1259859,1.5,1241064,1126955,132904,31347470,494047217,2023.06.22
81,Lost In The Fire,Gesaffelstein & The Weeknd,Columbia Records,COL ,2,77,80,179,1255145,-4.0,1307999,1182273,72872,40432450,323764461,2023.06.22
82,Demons In My Soul,Scxr Soul,THE ORCHARD,ORCH,39,74,110,28,1253794,-5.8,1330690,350324,903470,20829833,25874409,2023.06.22
83,Memories,David Guetta Feat. Kid Cudi,ATLANTIC GROUP,ATLG,13,78,77,153,1252595,-2.1,1279227,1152892,99703,29803608,251559675,2023.06.22
84,Lock It Up,"Whethan Feat. Yeat, midwxst & Matt Ox",ATLANTIC GROUP,ATLG,36,68,55,33,1236619,-12.4,1411264,809375,427244,24639173,41020181,2023.06.22
85,Wtf,Hugel Feat. Amber Van Day,THE ORCHARD,ORCH,17,0,0,68,1234913,141.6,511198,71995,1162918,15617605,146804283,2023.06.22
86,Stereo Love,Edward Maya & Vika Jigulina,ESCO,ESCO,9,82,65,369,1228969,-0.7,1237834,981587,247382,28875946,346982170,2023.06.22
87,(It Goes Like) Nanana,Peggy Gou,Merok,XL,87,,,1,1207332,1145.3,96952,1187650,19682,1304284,1304284,2023.06.22
88,Moth To A Flame,Swedish House Mafia & The Weeknd,REPUBLIC RECORDS,R-RR,1,86,75,87,1182496,-1.9,1205353,1073369,109127,33797134,170683322,2023.06.22
89,I Love It,Icona Pop Feat. Charli XCX,CAPITOL MUSIC GROUP,CAP ,58,85,71,395,1179374,-3.1,1216554,1177524,1850,29170532,331808331,2023.06.22
90,Can't Get You out of My Head,Kylie Minogue,INTERSCOPE/GEFFEN/A&M,INT ,90,98,103,150,1147564,5.3,1089692,924906,222658,21400438,157945721,2023.06.22
91,The Business,Tiesto,ATLANTIC GROUP,ATLG,2,91,90,143,1143845,-0.5,1149958,1127929,15916,29718562,315410333,2023.06.22
92,Body,Loud Luxury Feat. Brando,SONY,SONY,4,92,101,291,1137197,-0.1,1137778,1099763,37434,27147145,563693395,2023.06.22
93,Levels,Avicii,INTERSCOPE/GEFFEN/A&M,INT ,2,93,97,395,1130048,0.1,1128805,1005470,124578,28165717,453903365,2023.06.22
94,Lemonade,Sophie,,,94,0,0,2,1121561,166.8,420333,21017,1100544,5395632,11757537,2023.06.22
95,Hundred Miles (Feat. Gabriela,Yall,ULTRA,ULTA,2,76,61,20,1111108,-15.6,1316785,108229,1002879,82671567,98767525,2023.06.22
96,Belly Dancer,Imanbek & Byor,INTERNATIONAL R,IRI,51,105,91,56,1092510,7.0,1020887,571648,520862,24659889,59473592,2023.06.22
97,DUM DEE DUM,Keys N Krates,DIM MAK     .,DMK ,1,96,100,185,1092143,-0.4,1096811,99214,992929,27615651,288668994,2023.06.22
98,Everytime We Touch,Cascada,ROBBINS ENTERTAINMENT,ROBB,21,99,106,395,1088641,1.5,1072050,932034,156607,26907467,484020614,2023.06.22
