Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
53,The Kind Of Love We Make,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,51,57,53,Country,04/22/2022,53392,2.4,52135,652,6806919,397725,52740,2023.06.22
54,See You Again,"Tyler, The Creator", ODD FUTURE RECORDINGS,ODD ,24,46,45,23,R&B/Hip-Hop,07/06/2017,53381,-2.7,54885,199,7674149,638505,53182,2023.06.22
55,PRC,Peso Pluma X Natanael Cano,,,18,44,41,7,Latin,12/13/2022,53086,-7.0,57101,272,7115126,1118053,52814,2023.06.22
56,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,3,63,84,129,Rock,06/29/2020,52912,12.9,46886,641,6780385,612833,52271,2023.06.22
57,Tennessee Whiskey,Chris Stapleton,MERCURY NASHVILLE,MERN,39,54,55,353,Country,12/29/2014,52561,4.8,50140,1224,6311456,1038674,51337,2023.06.22
58,Por Las Noches,Peso Pluma,SONY MUSIC LATIN,SML,16,45,42,16,Latin,06/12/2021,52520,-5.6,55632,157,7058202,1335598,52363,2023.06.22
59,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,21,21,,2,Rock,10/14/2022,52333,-30.4,75160,530,6566972,113460,51803,2023.06.22
60,El Azul,Junior H & Peso Pluma, WEA LATINA,WEAL,33,49,47,13,Latin,02/10/2023,50954,-6.1,54253,136,6979036,765081,50818,2023.06.22
61,Next Thing You Know,Jordan Davis,MCA NASHVILLE,MCAN,47,57,77,23,Country,08/12/2022,49516,1.8,48647,2215,6139447,409071,47301,2023.06.22
62,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,31,60,70,52,Rock,09/15/2021,48829,3.1,47345,2612,5800855,713691,46217,2023.06.22
63,Idk Nomore,Gunna,300 ENTERTAINME,300E,63,,,1,R&B/Hip-Hop,06/16/2023,48799,,,27,6149126,349755,48772,2023.06.22
64,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,9,66,67,55,Pop,05/12/2022,48767,5.9,46041,1304,6268238,277974,47463,2023.06.22
65,P Angels,Gunna,300 ENTERTAINME,300E,65,,,1,R&B/Hip-Hop,06/16/2023,48715,,,73,6182156,217840,48642,2023.06.22
66,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,16,68,69,228,Country,07/29/2016,48488,5.8,45828,910,6261946,440972,47578,2023.06.22
67,Wait For U,Future Feat. Drake & Tems,EPIC,EPIC,1,53,65,60,R&B/Hip-Hop,04/27/2022,48460,-3.9,50404,99,6386288,669211,48361,2023.06.22
68,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,24,62,74,168,Country,04/12/2018,48395,2.7,47111,710,6237628,428674,47685,2023.06.22
69,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",REPUBLIC RECORDS,R-RR,4,50,56,29,R&B/Hip-Hop,12/02/2022,48388,-8.1,52638,443,6450759,397827,47945,2023.06.22
70,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,3,72,89,147,Rock,07/07/1977,47814,5.8,45202,662,5997402,391327,47152,2023.06.22
71,Memory Lane,Old Dominion,,,56,56,68,5,Country,12/08/2022,46848,-3.8,48705,1061,5935750,74719,45787,2023.06.22
72,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,32,58,66,55,R&B/Hip-Hop,12/01/2017,46358,-3.6,48114,45,6000579,622521,46313,2023.06.22
73,Tennessee Orange,Megan Moroney,ARISTA NASHVILLE,ARNV,33,81,86,39,Country,09/02/2022,46201,6.0,43585,1818,5777844,387752,44383,2023.06.22
74,No Role Modelz,J. Cole,Columbia Records,COL ,33,61,72,215,R&B/Hip-Hop,08/04/2015,46104,-2.4,47224,150,6325731,457762,45954,2023.06.22
75,Peaches & Eggplants,Young Nudy Feat. 21 Savage, RCA,RCA,75,87,135,5,R&B/Hip-Hop,02/28/2023,45833,9.7,41787,245,6035548,615317,45588,2023.06.22
76,Love You Anyway,Luke Combs,COLUMBIA NASHVILLE,CLNV,5,69,81,19,Country,01/23/2023,45379,-0.7,45698,1792,5470993,333136,43587,2023.06.22
77,Slut Me Out,Nle Choppa,Warner Records,WAR,14,59,58,19,R&B/Hip-Hop,04/01/2022,45245,-5.6,47904,361,6191458,783945,44884,2023.06.22
78,Cowgirls,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,22,64,75,16,Country,03/01/2023,44876,-3.6,46538,731,5688339,370010,44145,2023.06.22
