Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
153,On My Mama,Victoria Monet, RCA,RCA,153,,,7,R&B/Hip-Hop,06/01/2023,30832,,,711,3668732,900004,30121,2024.01.04
154,Power Trip,J. Cole Feat. Miguel,INTERSCOPE/GEFFEN/A&M,INT ,154,,,5,R&B/Hip-Hop,03/21/2011,30551,,,41,4046001,297064,30510,2024.01.04
155,Nonsense,Sabrina Carpenter,ISLAND,ISL,51,102,107,21,Pop,07/13/2022,30549,-38.9,50023,335,4040807,248675,30214,2024.01.04
156,Under The Influence,Chris Brown,RCA,RCA,5,,,66,R&B/Hip-Hop,06/28/2019,30479,,,263,3623185,1015502,30216,2024.01.04
157,Love,Keyshia Cole,A&M RECORDS,AAM ,157,,,2,R&B/Hip-Hop,11/06/2001,30467,,,226,4066623,538689,30241,2024.01.04
158,Godzilla,Eminem Feat. Juice Wrld,INTERSCOPE/GEFFEN/A&M,INT ,3,,183,64,R&B/Hip-Hop,01/17/2020,30378,,,222,4194857,737776,30156,2024.01.04
159,Yeah!,Usher, RCA,RCA,128,,,21,R&B/Hip-Hop,12/01/2003,30366,,,462,3773352,528389,29904,2024.01.04
160,Perfect,Ed Sheeran,ATLANTIC GROUP,ATLG,1,,,336,Pop,03/03/2017,30208,,,869,3600155,655246,29339,2024.01.04
161,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,,,215,Pop,08/30/2019,30105,,,329,3812460,355665,29776,2024.01.04
162,Everlong,Foo Fighters, RCA,RCA,106,,,53,Rock,09/16/2003,30103,,,213,3901930,292047,29890,2024.01.04
163,get him back!,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,5,,,13,Pop,07/03/2023,30032,,,619,3834334,223731,29413,2024.01.04
164,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,3,,,150,Rock,06/29/2020,29984,,,236,3890571,371786,29748,2024.01.04
165,Humble.,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,1,,,185,R&B/Hip-Hop,03/30/2017,29967,,,117,3955000,200805,29850,2024.01.04
166,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,82,,,75,Rock,03/11/1985,29934,,,546,3776496,437930,29388,2024.01.04
167,Passionfruit,Drake,CASH MONEY / REPUBLIC RECORDS,R-RR,1,,,84,R&B/Hip-Hop,03/17/2017,29895,,,61,3981626,192173,29834,2024.01.04
168,Save Me The Trouble,Dan + Shay,Warner Music Nashville,WNS,168,,,1,Country,07/14/2023,29850,,,403,3762986,40049,29447,2024.01.04
169,Beep Beep,Nicki Minaj,REPUBLIC RECORDS,R-RR,51,189,81,4,R&B/Hip-Hop,12/07/2023,29834,-14.3,34801,295,3718788,165151,29539,2024.01.04
170,The Hills,Weeknd,REPUBLIC RECORDS,R-RR,36,,,98,R&B/Hip-Hop,05/28/2015,29816,,,163,4038166,499351,29653,2024.01.04
171,Stretch My Hands Pt.1 &,Kanye West,DEF JAM RECORDINGS,DEF ,21,,,34,R&B/Hip-Hop,02/14/2016,29769,,,80,4153531,117415,29689,2024.01.04
172,Better Place (From Trolls Band Together),'N Sync, RCA,RCA,51,,,2,Pop,09/14/2023,29758,,,912,3630012,340924,28846,2024.01.04
173,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,3,,,159,Pop,03/25/2020,29712,,,571,3729609,324042,29141,2024.01.04
174,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,9,,,75,Pop,05/12/2022,29612,,,829,3778092,229855,28783,2024.01.04
175,Good Good,"Usher, Summer Walker, 21 Savage",Vydia,VYD,132,,,10,R&B/Hip-Hop,08/04/2023,29587,,,1071,3220507,1506593,28516,2024.01.04
176,Next Thing You Know,Jordan Davis,MCA NASHVILLE,MCAN,47,,,45,Country,08/12/2022,29500,,,516,3773469,277874,28984,2024.01.04
177,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,11,,,54,Dance/Electronic,08/23/2022,29423,,,721,3655197,325781,28702,2024.01.04
178,Tacata,Tiagz,,,178,,,1,Latin,08/15/2023,29372,,,182,3543527,812926,29190,2024.01.04
179,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,24,,,78,Rock,09/01/2021,29357,,,767,3887110,343932,28590,2024.01.04
180,Don't,Bryson Tiller, RCA,RCA,17,,,115,R&B/Hip-Hop,05/20/2015,29259,,,22,4192437,132257,29237,2024.01.04
181,All Too Well (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,1,,,62,Country,11/12/2021,29230,,,610,3719857,211015,28620,2024.01.04
182,Lovers Rock,TV Girl,,,182,,,4,Rock,06/09/2014,29186,,,47,4340365,142469,29139,2024.01.04
183,Pink Friday Girls,Nicki Minaj,REPUBLIC RECORDS,R-RR,88,,161,3,Pop,12/07/2023,29058,,,1159,3596677,37890,27899,2024.01.04
184,Peaches & Eggplants,Young Nudy Feat. 21 Savage, RCA,RCA,30,,,30,R&B/Hip-Hop,02/28/2023,28998,,,80,3786668,766601,28918,2024.01.04
185,Rich Flex,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,,,52,R&B/Hip-Hop,11/03/2022,28970,,,88,3970724,127966,28882,2024.01.04
186,Starboy,The Weeknd Feat. Daft Punk,REPUBLIC RECORDS,R-RR,1,,,126,R&B/Hip-Hop,09/22/2016,28955,,,138,3935589,457320,28817,2024.01.04
187,Coal,Dylan Gossett,,,187,,,1,Country,07/27/2023,28909,,,214,3802780,120227,28695,2024.01.04
188,Lavender Haze,Taylor Swift,REPUBLIC RECORDS,R-RR,2,,,52,Pop,10/19/2022,28888,,,457,3662793,142131,28431,2024.01.04
189,Take Me to Church,Hozier,Columbia Records,COL ,130,,,43,Rock,09/13/2013,28875,,,332,3674552,355268,28543,2024.01.04
190,Lala,Myke Towers, WEA LATINA,WEAL,31,,,21,Latin,03/23/2023,28863,,,140,3653306,919204,28723,2024.01.04
191,Flashing Lights,Kanye West Feat. Dwele,DEF JAM RECORDINGS,DEF ,144,,,11,R&B/Hip-Hop,08/24/2007,28850,,,117,4022924,152192,28733,2024.01.04
192,Barbie World (From Barbie The Album),"Nicki Minaj, Ice Spice & Aqua",ATLANTIC GROUP,ATLG,3,,,23,R&B/Hip-Hop,06/21/2023,28774,,,516,3718720,353985,28258,2024.01.04
193,Cupid,Fifty Fifty,WARNER RECORDS,WAR ,7,,,36,World Music,02/24/2023,28737,,,279,3845589,341839,28458,2024.01.04
194,Spin Bout U,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,5,,,54,R&B/Hip-Hop,11/04/2022,28705,,,47,3791154,375507,28658,2024.01.04
195,Boy's A Liar,Pinkpantheress,300 ENTERTAINME,300E,1,,,38,Pop,11/24/2022,28582,,,115,3938205,351023,28467,2024.01.04
196,Romantic Homicide,D4vd,,,15,,,52,Rock,07/21/2022,28453,,,51,4234398,338780,28402,2024.01.04
197,Sabor Fresa,Fuerza Regida,SONY MUSIC LATIN,SML,11,,,23,Latin,06/22/2023,28371,,,44,3760007,534552,28327,2024.01.04
198,Diluvio,Rauw Alejandro,SONY MUSIC LATIN,SML,198,,,1,Latin,07/07/2023,28350,,,69,3625073,542839,28281,2024.01.04
199,Mask Off,Future,EPIC,EPIC,3,,,92,R&B/Hip-Hop,09/05/2011,28091,,,78,3688296,169800,28013,2024.01.04
200,You Need To Calm Down,Taylor Swift,REPUBLIC RECORDS,R-RR,3,,,37,Pop,06/14/2019,28090,,,639,3453576,186658,27451,2024.01.04
1,Lovin On Me,Jack Harlow,ATLANTIC GROUP,ATLG,1,1,16,9,R&B/Hip-Hop,10/31/2023,173115,-5.5,183124,7538,21843215,2396324,165577,2024.01.11
2,I Remember Everything,Zach Bryan Feat. Kacey Musgraves,Warner Records,WAR,1,2,28,20,Country,01/27/2023,138685,-0.5,139378,3667,17858374,821798,135018,2024.01.11
3,Ftcu,Nicki Minaj,REPUBLIC RECORDS,R-RR,3,4,41,5,R&B/Hip-Hop,12/07/2023,106265,4.6,101632,8714,12644595,727706,97551,2024.01.11
4,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,4,5,46,35,Rock,07/02/2022,104890,7.4,97642,1340,14118132,416596,103550,2024.01.11
5,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,1,3,47,49,Pop,08/20/2019,96622,-7.6,104563,1938,12789388,505697,94684,2024.01.11
6,La Diabla,Xavi,,,6,13,57,4,Latin,11/22/2023,96134,17.2,82034,532,12693160,2753105,95602,2024.01.11
7,Lose Control,Teddy Swims,Warner Records,WAR,7,11,56,22,Pop,06/16/2023,96053,12.6,85342,5874,11343197,1039220,90179,2024.01.11
8,Greedy,Tate Mcrae, RCA,RCA,6,6,50,17,Pop,09/09/2023,93573,-3.9,97416,1467,12455961,731632,92106,2024.01.11
9,Last Night,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,7,48,50,Country,05/06/2022,90705,-6.3,96851,1594,11471405,1170450,89111,2024.01.11
10,Snooze,Sza,RCA,RCA,4,8,51,57,R&B/Hip-Hop,12/09/2022,90116,-1.0,91015,742,11762380,1621886,89374,2024.01.11
11,Something In The Orange,Zach Bryan,Warner Records,WAR,3,9,53,90,Country,04/22/2022,88802,-0.7,89430,1419,11551717,844319,87383,2024.01.11
12,Thinkin' Bout Me,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,5,12,62,45,Country,03/03/2023,79714,-5.0,83897,2036,10090795,792525,77678,2024.01.11
13,Paint The Town Red,Doja Cat, RCA,RCA,1,10,61,23,R&B/Hip-Hop,07/24/2023,78362,-8.9,85981,1980,10072124,991694,76382,2024.01.11
14,Agora Hills,Doja Cat,RCA,RCA,8,14,59,16,R&B/Hip-Hop,09/01/2023,75566,-4.3,78989,870,9998353,887297,74696,2024.01.11
15,Rich Baby Daddy,Drake,OVO / REPUBLIC RECORDS,R-RR,8,16,71,14,R&B/Hip-Hop,10/06/2023,75431,2.5,73563,719,10098784,570058,74712,2024.01.11
16,My Love Mine All Mine,Mitski,Dead Oceans,DOC,14,20,73,16,Rock,09/01/2023,73723,7.3,68739,504,10537327,564254,73219,2024.01.11
17,White Horse,Chris Stapleton,MERCURY NASHVILLE,MERN,15,21,89,25,Country,07/21/2023,70594,3.3,68318,2721,8751202,339189,67873,2024.01.11
18,Everybody,Nicki Minaj,REPUBLIC RECORDS,R-RR,15,15,55,5,R&B/Hip-Hop,12/05/2023,70553,-9.0,77520,1178,9049419,531248,69375,2024.01.11
19,Never Lose Me,Flo Milli, RCA,RCA,19,26,111,6,R&B/Hip-Hop,11/28/2023,68823,9.8,62706,314,9244186,490732,68509,2024.01.11
20,Water,Tyla,EPIC,EPIC,15,17,75,16,World Music,07/17/2023,68227,-7.2,73536,1941,8602424,1094242,66286,2024.01.11
21,Fast Car,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,18,85,42,Country,01/27/2023,67839,-3.8,70528,1412,8597614,565528,66427,2024.01.11
22,Wild Ones,Jessie Murph & Jelly Roll,SONY/COLUMBIA,COL,22,24,88,14,Country,10/03/2023,66223,1.5,65222,1300,8346003,1011066,64923,2024.01.11
23,First Person Shooter,Drake Feat. J. Cole,OVO / REPUBLIC RECORDS,R-RR,1,23,74,14,R&B/Hip-Hop,05/02/2023,66204,-1.3,67102,390,8672326,743435,65814,2024.01.11
24,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,1,19,78,11,Pop,09/26/2023,65899,-4.3,68837,1374,8493828,193692,64525,2024.01.11
25,Fukumean,Gunna,300 ENTERTAINME,300E,2,22,82,28,R&B/Hip-Hop,06/16/2023,64563,-4.8,67835,327,9051457,510970,64236,2024.01.11
26,What Was I Made For? [From The Motion Picture 'Barbie'],Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,7,40,116,26,Pop,07/03/2023,63151,18.8,53161,4049,7782748,654240,59102,2024.01.11
27,Vampire,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,1,25,87,28,Pop,06/30/2023,61905,-2.8,63688,736,8234877,456874,61169,2024.01.11
28,Idgaf,Drake Feat. Yeat,OVO / REPUBLIC RECORDS,R-RR,1,27,81,14,R&B/Hip-Hop,10/06/2023,60908,0.0,60922,201,8742146,320858,60707,2024.01.11
29,Surround Sound,J.I.D Feat. 21 Savage & Baby Tate,INTERSCOPE/GEFFEN/A&M,INT ,29,30,91,12,R&B/Hip-Hop,01/07/2022,59960,4.7,57267,591,8152269,344981,59369,2024.01.11
30,La Victima,Xavi,,,30,31,97,6,Latin,08/10/2023,59809,4.8,57044,310,8409336,608267,59499,2024.01.11
31,Pretty Little Poison,Warren Zeiders,Warner Records,WAR,31,33,125,22,Country,02/01/2023,58757,5.5,55709,1037,7499040,379297,57720,2024.01.11
32,Kill Bill,Sza, RCA,RCA,1,28,95,57,R&B/Hip-Hop,12/08/2022,58388,-1.2,59118,338,8031871,397972,58050,2024.01.11
33,Bellakeo,"Peso Pluma, Anitta",THE ORCHARD,ORCH,29,29,84,4,Latin,12/01/2023,57656,-1.5,58550,415,7270177,1621091,57241,2024.01.11
34,Exes,Tate Mcrae, RCA,RCA,21,32,100,8,Pop,11/11/2023,56863,1.1,56226,680,7453134,375942,56183,2024.01.11
35,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,13,35,112,31,Rock,10/14/2022,54984,1.2,54330,799,7000787,168724,54185,2024.01.11
36,I Know ?,Travis Scott,Cactus Jack/EPIC,EPIC,5,43,118,24,R&B/Hip-Hop,07/28/2023,54670,7.0,51095,247,7497070,262329,54423,2024.01.11
37,Wasted On You,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,37,106,157,Country,01/08/2021,53531,-0.6,53839,443,6959559,806730,53088,2024.01.11
38,500lbs,Lil Tecca,,,32,49,117,17,R&B/Hip-Hop,07/21/2023,53269,7.6,49518,83,7873518,429746,53186,2024.01.11
39,You Broke My Heart,Drake,OVO / REPUBLIC RECORDS,R-RR,4,47,103,8,R&B/Hip-Hop,11/17/2023,52919,4.9,50429,236,6813599,394632,52683,2024.01.11
40,Harley Quinn,Fuerza Regida x Marshmello,SONY MUSIC LATIN,SML,24,39,98,10,Latin,10/21/2023,51966,-2.6,53373,232,6997590,937458,51734,2024.01.11
41,Hey Driver,Zach Bryan Feat. The War and Treaty,Warner Records,WAR,5,45,128,20,Country,01/27/2023,51001,0.4,50793,430,6683176,128647,50571,2024.01.11
42,Murder On The Dance Floor,Sophie Ellis-Bextor,,,42,140,,2,Dance/Electronic,06/18/2002,50846,58.9,31993,3527,5944260,258374,47319,2024.01.11
43,Die For You,Weeknd,XO / REPUBLIC RECORDS,R-RR,1,51,130,132,R&B/Hip-Hop,11/25/2016,50744,5.2,48256,179,7175830,416875,50565,2024.01.11
44,Popular,"Madonna, Playboi Carti, The Weeknd",XO / REPUBLIC RECORDS,R-RR,26,74,196,16,R&B/Hip-Hop,05/29/2023,49505,19.4,41454,273,6842164,408773,49232,2024.01.11
45,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,36,121,64,Pop,10/20/2022,49163,-8.9,53989,1108,6224270,304828,48055,2024.01.11
46,You Proof,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,4,44,124,87,Country,03/26/2022,48845,-4.2,50975,292,6514048,355159,48553,2024.01.11
47,Monaco,Bad Bunny,Rimas Entertainment,RIMA,2,41,104,13,Latin,05/06/2022,48622,-6.9,52228,530,6317404,587554,48092,2024.01.11
48,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,9,34,158,33,Pop,05/25/2023,47836,-12.8,54857,1959,6020009,336256,45877,2024.01.11
49,Tennessee Whiskey,Chris Stapleton,MERCURY NASHVILLE,MERN,39,46,115,382,Country,12/29/2014,47811,-5.9,50789,1017,5817843,852841,46794,2024.01.11
50,One Of The Girls,Weeknd,XO / REPUBLIC RECORDS,R-RR,50,71,182,5,R&B/Hip-Hop,06/02/2023,47662,13.6,41946,209,6606826,581091,47453,2024.01.11
51,Truck Bed,Hardy,Big Loud Records,"BLR
",50,50,161,33,Country,10/10/2022,47514,-2.7,48828,1616,5979725,438263,45898,2024.01.11
52,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,52,137,72,Pop,08/15/2019,47071,-1.8,47940,827,6071483,252134,46244,2024.01.11
53,Save Me,Jelly Roll & Lainey Wilson,,,40,53,149,32,Country,05/12/2023,47026,0.2,46920,3074,5732243,301951,43952,2024.01.11
54,No Role Modelz,J. Cole,INTERSCOPE/GEFFEN/A&M,INT ,33,64,147,244,R&B/Hip-Hop,08/04/2015,46523,6.9,43511,55,6525689,284241,46468,2024.01.11
55,Que Onda,"Calle 24 Feat. Chino Pacas, Fuerza Regida",,,53,54,119,10,Latin,08/30/2023,46514,-0.6,46780,106,6201490,892734,46408,2024.01.11
56,Need A Favor,Jelly Roll,BROKEN BOW RECO,BB2 ,22,58,162,41,Country,12/09/2022,46445,2.4,45369,2654,5599915,629842,43791,2024.01.11
57,Calm Down,Rema & Selena Gomez,VIRGIN MUSIC GROUP,CIT,10,38,133,72,World Music,05/11/2018,46188,-13.9,53672,1174,5671858,737950,45014,2024.01.11
58,Flowers,Miley Cyrus,COLUMBIA,COL,1,48,154,52,Pop,01/13/2023,46017,-8.3,50162,1393,5592592,696280,44624,2024.01.11
59,Lil Boo Thang,Paul Russell,Arista,ARIS,42,42,160,16,Pop,08/16/2023,45737,-11.2,51520,3851,5439945,360191,41886,2024.01.11
60,Religiously,Bailey Zimmerman,Warner Music Nashville,WNS,12,60,167,37,Country,03/17/2023,45301,1.3,44738,621,5908657,322519,44680,2024.01.11
61,World On Fire,Nate Smith,RCA NASHVILLE,RCNA,59,59,179,11,Country,02/17/2023,45182,0.2,45104,1121,5713904,151199,44061,2024.01.11
62,Sure Thing,Miguel, RCA,RCA,12,63,157,64,R&B/Hip-Hop,07/30/2010,44707,2.5,43614,211,6129977,542936,44496,2024.01.11
63,Feather,Sabrina Carpenter,ISLAND,ISL,63,84,,3,Pop,07/15/2022,44418,12.9,39342,508,5871840,342909,43910,2024.01.11
64,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,32,66,142,80,R&B/Hip-Hop,12/01/2017,44232,3.2,42881,29,5800929,560808,44203,2024.01.11
65,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,3,72,194,176,Rock,07/07/1977,44170,5.3,41931,506,5609952,294048,43664,2024.01.11
66,See You Again,"Tyler, The Creator", ODD FUTURE RECORDINGS,ODD ,24,70,169,52,R&B/Hip-Hop,07/06/2017,43958,4.8,41960,85,6407434,392777,43873,2024.01.11
67,Pink + White,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,47,89,183,58,R&B/Hip-Hop,08/20/2016,43601,13.4,38465,80,6100488,205088,43521,2024.01.11
68,Can't Catch Me Now,Olivia Rodrigo,,,35,57,138,10,Pop,11/02/2023,43435,-4.5,45502,533,5840259,105776,42902,2024.01.11
69,Mmhmm,Bigxthaplug,,,69,80,168,6,R&B/Hip-Hop,10/05/2023,43310,8.9,39782,236,5817007,398580,43074,2024.01.11
70,Sunflower,Post Malone & Swae Lee,REPUBLIC RECORDS,R-RR,1,69,163,272,R&B/Hip-Hop,10/17/2018,42241,0.5,42028,338,5404524,876294,41903,2024.01.11
71,The Painter,Cody Johnson, WARNER Records,WAR ,50,81,,10,Country,08/11/2023,42176,6.2,39732,1240,5424485,127699,40936,2024.01.11
72,Burn It Down,Parker Mccollum,MCA NASHVILLE,MCAN,72,75,,8,Country,05/12/2023,41819,1.0,41425,633,5214837,155976,41186,2024.01.11
73,Houdini,Dua Lipa,Warner Records,WAR,13,55,164,9,Pop,11/06/2023,41817,-10.0,46460,2180,5088925,302576,39637,2024.01.11
74,Lady Gaga,"Peso Pluma, Gabito Ballesteros, Junior H",THE ORCHARD,ORCH,14,68,153,29,Latin,06/13/2023,41442,-2.3,42436,87,5626038,812016,41355,2024.01.11
75,Fe!N,Travis Scott,Cactus Jack/EPIC,EPIC,2,82,188,24,R&B/Hip-Hop,07/28/2023,41143,4.0,39551,130,5663458,187603,41013,2024.01.11
76,Daylight,David Kushner,DAVID KUSHNER,DVK,28,77,172,39,Pop,03/29/2023,40820,1.3,40316,624,5432497,594442,40196,2024.01.11
77,Oklahoma Smokeshow,Zach Bryan,Warner Records,WAR,76,76,170,51,Country,07/07/2022,40723,0.8,40386,308,5316196,323761,40415,2024.01.11
78,Ella Baila Sola,Eslabon Armado,DEL RECORDS,DLRI,1,61,129,43,Latin,02/16/2023,40693,-8.7,44568,231,5379340,894919,40462,2024.01.11
79,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,67,174,162,Pop,03/20/2020,40612,-4.7,42603,397,5200404,797396,40215,2024.01.11
80,Wondering Why,Red Clay Strays,THE ORCHARD,ORCH,79,79,150,7,Country,03/09/2022,40563,1.5,39965,1024,5153605,176184,39539,2024.01.11
81,Strangers,Kenya Grace,Warner Records,WAR,39,62,159,18,Dance/Electronic,08/29/2023,40447,-8.4,44177,697,5400552,190930,39750,2024.01.11
82,Sweater Weather,Neighbourhood,Columbia Records,COL ,27,92,180,170,Rock,04/30/2012,40445,6.5,37982,108,5684106,483263,40337,2024.01.11
83,Qlona,"Karol G, Peso Pluma",,,14,73,141,22,Latin,08/08/2023,39965,-3.9,41602,261,5385581,593303,39704,2024.01.11
84,Beautiful Crazy,Luke Combs,CLNV,CLNV,26,98,,283,Country,05/24/2018,39893,12.3,35531,265,5072087,592508,39628,2024.01.11
85,All My Life,Lil Durk Feat. J. Cole,Alamo Records,ALAM,2,65,171,35,R&B/Hip-Hop,05/05/2023,39223,-9.4,43308,443,4945198,883898,38780,2024.01.11
86,Wait For U,Future Feat. Drake & Tems,EPIC,EPIC,1,95,173,89,R&B/Hip-Hop,04/27/2022,38832,3.5,37518,59,5169515,510728,38773,2024.01.11
87,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,3,83,193,54,Pop,10/20/2022,38277,-3.0,39454,877,4886852,224302,37400,2024.01.11
88,Act Ii: Date @ 8,4batz,Vydia,VYD,88,,,1,R&B/Hip-Hop,11/15/2023,38115,,,150,5272152,40086,37965,2024.01.11
89,Virginia Beach,Drake,OVO / REPUBLIC RECORDS,R-RR,3,91,176,14,R&B/Hip-Hop,10/06/2023,38034,-0.3,38145,75,4999191,206874,37959,2024.01.11
90,Mr. Brightside,Killers,ISLAND,ISL,88,88,,83,Rock,06/07/2004,37790,-2.6,38797,691,4828279,258063,37099,2024.01.11
91,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,59,122,,44,Rock,12/29/2014,37362,11.4,33535,259,4907098,404492,37103,2024.01.11
92,Perro Negro,Bad Bunny,Rimas Entertainment,RIMA,11,87,185,13,Latin,05/06/2022,37147,-4.4,38840,57,4954517,444999,37090,2024.01.11
93,Rock And A Hard Place,Bailey Zimmerman,Warner Music Nashville,WNS,11,78,191,83,Country,06/10/2022,37136,-7.6,40182,455,4884737,524719,36681,2024.01.11
94,Love Me,Lil Wayne Feat. Drake & Future,CASH MONEY,R-CM,94,97,,50,R&B/Hip-Hop,10/11/2010,36929,2.6,35989,78,4998716,514060,36851,2024.01.11
95,My Eyes,Travis Scott,Cactus Jack/EPIC,EPIC,10,126,,9,R&B/Hip-Hop,07/28/2023,36746,11.5,32942,97,4886790,114197,36649,2024.01.11
96,Good Days,Sza, RCA,RCA,2,119,,104,R&B/Hip-Hop,12/04/2020,36311,7.7,33722,117,4852930,289538,36194,2024.01.11
97,Runaway,Kanye West Feat. Pusha T,DEF JAM RECORDINGS,DEF ,97,102,192,8,R&B/Hip-Hop,09/12/2010,36294,3.8,34980,227,4905247,361699,36067,2024.01.11
98,Thought You Should Know,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,111,,85,Country,04/29/2022,36231,6.0,34169,528,4563903,503822,35703,2024.01.11
99,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,16,109,,254,Country,07/29/2016,36147,5.1,34404,341,4754612,380578,35806,2024.01.11
100,Heading South,Zach Bryan, WARNER Records,WAR ,87,115,,33,Country,09/30/2019,35887,6.1,33827,136,4882595,124493,35751,2024.01.11
101,Great Gatsby,Rod Wave,ALAMO,ALAM,18,86,152,17,R&B/Hip-Hop,09/01/2023,35567,-9.2,39178,230,5040277,308587,35337,2024.01.11
102,You Should Probably Leave,Chris Stapleton,MERCURY NASHVILLE,MERN,46,101,,126,Country,10/13/2020,35498,1.3,35045,387,4562256,239145,35111,2024.01.11
103,Y Lloro,Junior H, WEA LATINA,WEAL,98,152,,11,Latin,10/05/2023,35459,14.9,30854,36,4738878,830071,35423,2024.01.11
104,As It Was,Harry Styles,Columbia Records,COL ,1,96,,90,Pop,03/30/2022,35377,-5.5,37419,355,4573083,420105,35022,2024.01.11
105,Favorite Song,Toosii,CAPITOL RECORDS,CAP,5,93,186,47,R&B/Hip-Hop,01/30/2023,35323,-6.5,37761,228,4348904,1394649,35095,2024.01.11
106,Shut Up My Moms Calling,Hotel Ugly,,,58,133,,52,R&B/Hip-Hop,02/14/2020,35232,9.4,32215,27,5294096,137247,35205,2024.01.11
107,You're Losing Me,Taylor Swift,REPUBLIC RECORDS,R-RR,16,56,105,7,Pop,11/29/2023,35230,-23.5,46061,415,4576724,117534,34815,2024.01.11
108,Northern Attitude,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,23,114,,8,Rock,09/16/2022,35123,3.2,34033,503,4488117,70430,34620,2024.01.11
109,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,24,120,,194,Country,04/12/2018,35090,4.2,33688,280,4572788,308165,34810,2024.01.11
110,Jimmy Cooks,Drake Feat. 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,118,,81,R&B/Hip-Hop,06/16/2022,35056,3.9,33740,55,4831959,155949,35001,2024.01.11
111,Rich Men North Of Richmond,Oliver Anthony Music,,,1,108,195,22,Country,08/11/2023,34926,1.3,34486,768,4507784,90380,34158,2024.01.11
112,Low Life,Future Feat. The Weeknd,EPIC,EPIC,15,104,,84,R&B/Hip-Hop,09/06/2016,34838,0.4,34704,51,4465623,441614,34787,2024.01.11
113,Standing Next To You,Jung Kook,INTERSCOPE/GEFFEN/A&M,INT ,2,90,166,10,Pop,10/09/2023,34696,-9.6,38385,3427,4042335,477162,31269,2024.01.11
114,Someone You Loved,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP,5,127,,200,Pop,11/08/2018,34663,5.4,32895,417,4326172,772654,34246,2024.01.11
115,El Amor De Su Vida,"Grupo Frontera, Grupo Firme",,,79,94,184,22,Latin,07/31/2023,34657,-8.1,37719,179,4287717,1493894,34478,2024.01.11
116,Heartless,Kanye West,DEF JAM RECORDINGS,DEF ,87,121,,66,R&B/Hip-Hop,10/30/2008,34639,3.1,33601,87,5013415,236561,34552,2024.01.11
117,Slime You Out,Drake,OVO / REPUBLIC RECORDS,R-RR,1,125,,16,R&B/Hip-Hop,09/15/2023,34394,4.4,32959,68,4588615,219133,34326,2024.01.11
118,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,2,103,199,11,Pop,09/25/2023,34359,-1.6,34904,207,4479470,105031,34152,2024.01.11
